YYYYMM,issue_amt,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,tenor_share_long,tenor_share_main,tenor_share_mid,tenor_share_short,tenor_share_ultra,tenor_share_xlong
201601,13681898512703,0.0,0.1503788754749742,0.0003654463593161,0.0103589425011748,0.8388967356645348,0.0366276999917605,0.340821560568626,0.0857319643857865,0.3665719341028174,0.1702468409510094,0.0
201602,12429667077887,0.0,0.1570146640107574,0.0004827160665207,0.0100565847191821,0.8324460352035397,0.0581753312835249,0.3100766879634874,0.1074137440303803,0.3688031200896235,0.1555311166329836,0.0
201603,14459463890055,0.0,0.1485801974634502,0.002697195435221,0.0176770039292949,0.8310456031720338,0.0940355673207347,0.3146831746043865,0.0876664591189887,0.3231309290252135,0.1548950927247331,0.0255887772059433
201604,13323368914812,0.0,0.177570622711034,0.0010507852848265,0.0161843450690821,0.8051942469350573,0.0443956782839219,0.3890504156984939,0.0694273877661408,0.3756857617622028,0.1214407564892404,0.0
201605,11764550000000,0.0,0.1530657781215601,0.0023460310849118,0.0088996179199374,0.8356885728735906,0.0437798300827486,0.2924633751397206,0.0868626509301248,0.4000238003153541,0.1768703435320518,0.0
201606,11643880000000,0.0,0.1298561991363703,0.0013526419028708,0.014926296045648,0.8538648629151108,0.0916026273029265,0.2740237790152423,0.0746976093879359,0.3649213148881644,0.1552489376393435,0.0395057317663871
201607,13925686731582,0.0,0.1862663423053555,0.0003590487202803,0.0086028073379179,0.8047718016364462,0.1447088419294831,0.3571601240117062,0.0820366531002825,0.2439736054305189,0.1412425855838963,0.0308781899441127
201608,13168647565627,0.0,0.1630993277725203,0.0084746743690901,0.0205298227211784,0.8078961751372111,0.0727787391112678,0.306477941632713,0.0841202556663043,0.3342104781881942,0.2024125854015205,0.0
201609,13082060000000,0.0,0.1416260130285291,0.00340160494601,0.0187050051750259,0.8362673768504348,0.0948443899508181,0.2838849538986979,0.1283284131092504,0.3397247834056716,0.1302852914602134,0.0229321681753485
201610,14763592343886,0.0,0.1406068587870262,0.0071120901711623,0.0163869330962792,0.8358941179455321,0.0759836981241604,0.4262004702809198,0.0782770191076554,0.2347463895828334,0.1637948233514752,0.0209975995529556
201611,12431341335887,0.0,0.1408726772574011,0.0009737485017047,0.0172145542639249,0.8409390199769692,0.118703307713633,0.2979646282663756,0.0798546169055995,0.3205687859680715,0.1636026189811708,0.0193060421651494
201612,11954246335887,0.0,0.1422278149633633,0.0006273921240425,0.0147579358031448,0.8423868571094493,0.1261347887202559,0.3336722272507891,0.0873413488950433,0.270221970439286,0.1767740048702285,0.0058556598243971
201701,11279390000000,0.0,0.1751991907363784,0.0012412018735055,0.0200675745762847,0.8034920328138312,0.0709497588078788,0.4741479814067959,0.1027732882717948,0.2375039784952909,0.1146249930182394,0.0
201702,12318300000000,0.0,0.1708839693788915,0.0012014644877945,0.019694275995876,0.8082202901374378,0.0928943117150905,0.3965725790084671,0.1060617130610555,0.2475585105087552,0.1569128857066316,0.0
201703,11776347000000,0.0,0.1573068456627509,0.0035240130067498,0.0244343173651387,0.8147348239653603,0.163030182449617,0.3425850138417287,0.1108702894029872,0.2480565492847654,0.0989440953124088,0.0365138697084928
201704,15030130000000,0.0,0.1513759362028139,0.0009979953599869,0.0183717639168789,0.8292543045203202,0.1384319363837837,0.3415805452115185,0.0817211827176478,0.2242961305058572,0.1906836467814982,0.0232865583996944
201705,14117870000000,0.0,0.1320135402861763,0.0012126475169412,0.0254429315470393,0.8413308806498431,0.0839822154475143,0.3518519436713895,0.0594636443032837,0.2488264872817217,0.2317927562727238,0.0240829530233668
201706,11564500000000,0.0,0.124294176142505,0.0015997232911064,0.0317523455402308,0.8423537550261576,0.1473474858402871,0.3170910977560638,0.0247308573652125,0.2575122141035064,0.238618184962601,0.0147001599723291
201707,15871000000000,0.0,0.1616596307731082,0.0018902400604876,0.0195009766240312,0.8169491525423729,0.0688299414025581,0.4245668199861382,0.0585974418751181,0.1752000504064016,0.2116879843740155,0.0611177619557683
201708,14083863101400,0.0141426467983915,0.1521017340609521,0.0021158967383769,0.0323206776949394,0.7993190447073398,0.0993108204709093,0.3889699836300909,0.1080669407989847,0.2674116362594879,0.095989288611135,0.0402513302293919
201709,12938100000000,0.0,0.1432513274746678,0.0090044133218942,0.0293087856795047,0.8184354735239332,0.09084023156414,0.3194904970590735,0.1272211530286518,0.2846167520733338,0.1469149256846059,0.0309164405901948
201710,13043350000000,0.0,0.1409952197863279,0.0036800361870225,0.0286889487746629,0.8266357952519866,0.1031215140282212,0.3791127279418247,0.0792741128621098,0.3104340526015172,0.0881905338735831,0.0398670586927438
201711,14295604989842,0.0,0.1139087846229023,0.0025882080559928,0.0283898443114778,0.855113163009627,0.1355874753967599,0.3376212481688992,0.0773174693051039,0.2829191211476459,0.1109431885622861,0.0556114974193048
201712,12306615886425,0.0,0.1147119483904762,0.0038597125674813,0.0210049620777668,0.8604233769642755,0.1071875403115547,0.3604158966960727,0.0747321610171069,0.2817265145834638,0.1637493213892291,0.0121885660025726
201801,15900800000000,0.0,0.1420997685651036,0.0072323405111692,0.0443436808210907,0.8063242101026363,0.0632861239686053,0.4271734755484001,0.0611478667739987,0.3052613704970819,0.1179751962165425,0.0251559669953713
201802,14652000000000,0.0,0.1476248976248976,0.0057330057330057,0.0354900354900354,0.8111520611520612,0.0834493584493584,0.4038151788151788,0.0639161889161889,0.3509145509145509,0.0808422058422058,0.017062517062517
201803,14940900000000,0.0,0.1401455066294533,0.005521755717527,0.0337061355072318,0.8206266021457878,0.1862069888694791,0.2915620879598953,0.0901217463472749,0.3151952024309111,0.1075437222657269,0.0093702521267125
201804,16163550000000,0.0,0.1539544221411756,0.0083521256159692,0.0372319199680763,0.8004615322747788,0.1383204803400243,0.4098047767971763,0.0770065981792366,0.2485035774938055,0.1053295841569457,0.0210349830328114
201805,15253150000000,0.0,0.1108492344204312,0.0114730399950174,0.0553623349930997,0.8223153905914516,0.1167529330007244,0.3532516234351593,0.1066927159308077,0.2940835171751408,0.1010283121846962,0.0281908982734713
201806,12554200000000,0.0,0.111181915215625,0.0037835943349635,0.0415398830670213,0.8434946073823899,0.1539723757786238,0.3324783737713275,0.0603463382772299,0.3173121345844418,0.1032323843813225,0.0326583932070542
201807,16893500000000,0.0,0.1610501080297155,0.0112469292923313,0.0276437683132565,0.8000591943646965,0.1183709710835528,0.4094770177879065,0.0634622783910971,0.2545653653772161,0.1304466214816349,0.0236777458785923
201808,15356030000000,0.0,0.1529581538978499,0.0026048399228185,0.0292588644330598,0.8151781417462717,0.1069501687610665,0.3405111868106535,0.0765301969324102,0.2925625959313703,0.1694448369793494,0.0140010145851499
201809,11547800000000,0.0,0.1486343719149968,0.001515440170422,0.0280659519562167,0.8217842359583644,0.099438854154038,0.3554010287673843,0.0602279222016314,0.3891130778156878,0.090190339285405,0.0056287777758534
201810,14727200000000,0.0,0.1221481340648595,0.0,0.0288513770438372,0.8490004888913032,0.0669441577489271,0.4221372698136781,0.0644046390352545,0.3389103156064968,0.07467135640176,0.0329322613938834
201811,15258800000000,0.0,0.1313209426691483,0.0019660785907148,0.0260046661598553,0.8407083125802816,0.1446378483235903,0.3155359530238288,0.0950009175033423,0.3552638477468739,0.0895614334023645,0.0
201812,13434050000000,0.0,0.1193683215411584,0.0005582828707649,0.0170797339596026,0.8629936616284739,0.1471000926749565,0.3562961281221969,0.0845612454918658,0.3565268850421131,0.0555156486688675,0.0
201901,15647200000000,0.0,0.1513114167390971,0.0058796461986809,0.0279730558822025,0.8148358811800195,0.1022035891405491,0.4457922184160744,0.0928664553402525,0.2874316171583414,0.0653152001636075,0.0063909197811749
201902,14906000000000,0.0,0.1083120890916409,0.0011404803434858,0.0304239903394606,0.8601234402254125,0.1650006708707903,0.350898966858983,0.0754058768281229,0.2875016771769757,0.0943579766536965,0.0268348316114316
201903,13617350000000,0.0,0.1207650534061326,0.000455301508737,0.0256988327391159,0.8530808123460144,0.1205410744381249,0.3627064002908055,0.0785027923935273,0.3088192636599632,0.1073997510528847,0.0220307181646943
201904,17803400000000,0.0,0.0963973173663457,0.0008144511722479,0.0294943662446499,0.8732938652167563,0.1189828909084781,0.4326083781749553,0.0683521125178336,0.2615230798611501,0.1112315625105316,0.007301976027051
201905,15712500000000,0.0,0.0943198090692124,0.0014638027048528,0.0372760540970564,0.8669403341288783,0.095859984089101,0.359096260938743,0.0840731901352426,0.3442545743834526,0.1135338106603023,0.0031821797931583
201906,14618200000000,0.0,0.1663679522786663,0.0020522362534374,0.0271032001203978,0.8044766113474984,0.1404892531228194,0.3130412773118441,0.0369402525618749,0.3754018962662981,0.1341273207371632,0.0
201907,18247300000000,0.0,0.1134414406514936,0.0013700657083513,0.0249187551034947,0.8602697385366602,0.0515911943136792,0.3472787754900725,0.0717092391751108,0.4006346144361083,0.1227578874682829,0.006028289116746
201908,15386680000000,0.0,0.118965234865481,0.0042244330810805,0.025892525223115,0.8509178068303234,0.0753300907018278,0.3659333917388286,0.057445790774878,0.371379660849514,0.1234119381179045,0.0064991278170469
201909,15701500000000,0.0,0.1032703881794733,0.0010190109225233,0.0184504665159379,0.8772601343820654,0.1215170525109066,0.3576728338056874,0.0121453364328248,0.4023692003948667,0.0999267585899436,0.0063688182657707
201910,16238100000000,0.0,0.0995621408908677,0.0018475067895874,0.0170894378036839,0.8815009145158609,0.0895486540913037,0.3111755685702145,0.0758339953565996,0.4024424039758346,0.0828175710212401,0.0381818069848073
201911,17811100000000,0.0,0.1246413753221305,0.0010106057458551,0.0174554070214641,0.8568926119105502,0.1194367557309767,0.3169652632347244,0.1086457321557904,0.3639359725115237,0.0651896850840206,0.0258265912829639
201912,15427300000000,0.0,0.1046521426302723,0.0006482015647585,0.0161272549311934,0.8785724008737757,0.1580120954411984,0.2600584677811412,0.1323303494454635,0.3389964543374407,0.0862950743163094,0.0243075586784466
202001,17266600000000,0.0,0.1442322171128074,0.0008687292228927,0.0257491341665411,0.8291499194977586,0.1045081255139981,0.4380016911262205,0.0945988208448681,0.3098699222776921,0.0530214402372209,0.0
202002,15837500000000,0.0,0.128991318074191,0.0015785319652722,0.0313622730860299,0.8380678768745067,0.1295659037095501,0.3706140489344909,0.086446724546172,0.3383614838200474,0.0731176006314127,0.0018942383583267
202003,21247200000000,0.0,0.0712470349034225,0.0009413005007718,0.015724424865394,0.9120872397304116,0.284093904137957,0.2732971873941037,0.172912195489288,0.1905662863812643,0.0744239240935276,0.0047065025038593
202004,15512400000000,0.0,0.0938603955545241,0.0014182202624996,0.0118163533689177,0.8929050308140585,0.1962430055955235,0.4730409221010288,0.1305729609860498,0.1629664010726902,0.0371767102447074,0.0
202005,12597200000000,0.0,0.1228050677928428,0.0002381481599085,0.0182024576890102,0.8587543263582383,0.2382910488044962,0.4213237862382116,0.1731337122535166,0.1369669450354046,0.0263153716698948,0.0039691359984758
202006,10469650000000,0.0,0.1063932414168573,0.0011461701203001,0.0536455373388795,0.838815051123963,0.1736161189724585,0.4399144192976842,0.0884461276164914,0.2367032326773101,0.0059218789548838,0.0553982224811717
202007,14264830000000,0.0,0.1056865030988802,0.0035051241409817,0.0357754000573438,0.8550329727027942,0.1448457500019278,0.48154797498463,0.0641669055992956,0.2006403160780745,0.0169648008423514,0.0918342524937205
202008,11291000000000,0.0,0.1291736781507395,0.0013284917190682,0.0306173058187937,0.8388805243113985,0.1518200336551235,0.4591710211673014,0.0505978212735807,0.226109290585422,0.0387919581967939,0.0735098751217784
202009,12164300000000,0.0,0.1405835107651077,0.0023018176138372,0.0342970824461744,0.8228175891748806,0.1950214973323578,0.3558774446536175,0.0936017691112517,0.2387642527724571,0.0189077875422342,0.0978272485880815
202010,14379280000000,0.0,0.0890294924363389,0.0021558798493387,0.025675833560512,0.8831387941538102,0.1543178796156692,0.428839274289116,0.1074532243617204,0.1869217373887983,0.0188465625538969,0.1036213217907989
