분기,event_flag,overheat_flag,q_val,S1_Delta,S1_Accel,S2_Delta,S3_Delta,3M_ratio,S4_Accel,Issuance_QoQ,Success_Rate,y_regime
2010/Q1,0,0,2010.25,0.0,0.0,0.0,0.0,78.5556974906359,0.0,0.0,31.67898297987964,0
2010/Q1,0,0,2010.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010/Q2,0,0,2010.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.25881184325989,0.0,0
2010/Q2,0,0,2010.5,5.094613480248459,0.0,-9.727384077838051,286887.7000000011,68.82831341279784,0.0,0.0,36.7735964601281,0
2010/Q3,0,0,2010.75,-2.3665339284578124,-7.461147408706271,-7.732532327395404,269231.8999999985,61.09578108540244,0.0230293592295305,-0.9558759203068368,34.407062531670284,1
2010/Q4,0,0,2011.0,-0.6926112389077019,1.6739226895501105,7.861978769630738,40687.20000000112,68.95775985503317,-0.2203454280153858,-22.99041872184542,33.71445129276258,2
2011/Q1,0,0,2011.25,-7.604735007440496,-6.912123768532794,4.826441063648431,352879.5999999996,73.7842009186816,0.0786603220303803,-15.124386518807388,26.109716285322087,1
2011/Q2,0,0,2011.5,-1.715678588394738,5.889056419045758,-7.97560102400449,91907.40000000036,65.80859989467712,0.0063139581474833,-14.49299070405905,24.39403769692735,0
2011/Q3,0,0,2011.75,5.226479623157783,6.94215821155252,-2.149060259666264,137711.0,63.65953963501085,0.5479759385489666,40.304603150837615,29.62051732008513,0
2011/Q4,0,0,2012.0,-7.673774275687396,-12.90025389884518,-2.4306131332907555,9723.900000000373,61.228926501720096,-0.469528124502679,-6.6482092994302855,21.94674304439773,1
2012/Q1,0,0,2012.25,21.85933549982107,29.533109775508468,-0.4899078348040717,435360.0999999996,60.73901866691602,0.2251352369074761,15.86531439131733,43.806078544218806,0
2012/Q2,0,0,2012.5,-15.126066503279617,-36.98540200310069,-0.4138663049008144,104443.0,60.32515236201521,-0.1389924242442319,1.966071966894134,28.68001204093919,2
2012/Q3,0,0,2012.75,-19.509768185361555,-4.383701682081938,7.000290450799078,272571.2999999989,67.32544281281429,0.0434950814835484,6.3155801152489754,9.170243855577636,0
2012/Q4,0,0,2013.0,-6.683627153222174,12.82614103213938,0.3716371725479064,-55040.5,67.6970799853622,-0.1186768067091407,-5.5521005556650955,2.4866167023554606,0
2013/Q1,0,0,2013.25,17.83089100674664,24.514518159968816,2.668614419932368,330818.5,70.36569440529456,0.2030424188328822,14.752141327623125,20.317507709102102,0
2013/Q2,0,0,2013.5,15.640311129603596,-2.190579877143044,-8.107880341445338,134289.1000000015,62.25781406384922,0.0610838573704002,20.86052706466315,35.9578188387057,0
2013/Q3,0,0,2013.75,-1.5753473900647847,-17.21565851966838,2.338572264009983,99116.79999999888,64.59638632785921,-0.1672887305208754,4.131654012575603,34.38247144864091,2
2013/Q4,0,0,2014.0,3.946464347313352,5.521811737378137,4.132531541269742,32573.300000000745,68.72891786912895,-0.2826899707740322,-24.137343064827622,38.328935795954266,2
2014/Q1,0,0,2014.25,-4.567097061259425,-8.513561408572777,5.825745841384489,305774.69999999925,74.55466371051344,0.2809268362966686,3.955340564839238,33.76183873469484,1
2014/Q2,0,0,2014.5,6.703811531404924,11.270908592664348,-11.340105874805552,202762.5,63.214557835707886,-0.0733622468037118,-3.380884115531946,40.465650266099765,0
2014/Q3,0,0,2014.75,20.765226123860188,14.061414592455264,-7.064938988890404,274727.4000000004,56.14961884681748,0.0115916998548845,-2.221714130043495,61.23087638995995,0
2014/Q4,0,0,2015.0,4.286550621159599,-16.47867550270059,0.2102001139834044,111615.90000000036,56.35981896080089,-0.1460059488261851,-16.822309012662007,65.51742701111955,2
2015/Q1,0,0,2015.25,-2.2975581822259628,-6.584108803385561,6.701760527726911,488549.5999999996,63.0615794885278,0.2334510140184033,6.522792389178322,63.21986882889359,1
2015/Q2,0,0,2015.5,-7.594374786676759,-5.296816604450797,-5.350885988150168,339784.19999999925,57.71069350037763,-0.1062357402522341,-4.100781636045092,55.62549404221683,1
2015/Q3,0,0,2015.75,15.670601864814202,23.26497665149096,-1.3556862605910496,187260.9000000004,56.35500723978658,-0.0661678723709949,-10.71756887314459,71.29609590703103,0
2015/Q4,0,0,2016.0,15.777287468476658,0.1066856036624557,-18.95744630617544,49889.800000000745,37.39756093361114,0.0324122755848899,-7.476341314655599,87.07338337550769,0
2016/Q1,0,0,2016.25,26.55522735351568,10.777939885039018,8.500628420634179,386999.0,45.89818935424532,-0.0234496701176681,-9.821308326422418,113.62861072902336,1
2016/Q2,0,0,2016.5,4.0703931721674,-22.48483418134828,-7.398852755002672,182078.59999999963,38.499336599242646,0.099565018811483,0.13519355472588757,117.69900390119076,2
2016/Q3,0,0,2016.75,-9.016042648945444,-13.086435821112843,19.049929489965663,122730.09999999964,57.54926608920831,-0.0224905808842763,-2.113864533701748,108.68296125224532,1
2016/Q4,0,0,2017.0,7.379257824557285,16.39530047350273,-4.937387338240832,196923.8000000008,52.61187875096748,0.0862287787729938,6.509013343597636,116.0622190768026,1
2017/Q1,0,0,2017.25,-11.752121003616791,-19.13137882817408,8.118931098724623,261201.29999999888,60.7308098496921,-0.0655644560205075,-0.04743225845311727,104.3100980731858,2
