분기	EWS_Result_Status	p_normal	p_caution	p_risk	overheat_flag	event_flag	Explanation_Top3
2018/Q3	Normal (정상)	0.714542884	0.16809793	0.117359187	0	0	S1_Accel: 15.02 | S1_Delta: -5.73 | S2_Delta: 6.30
2018/Q4	Normal (정상)	0.907356779	0.051615707	0.041027514	0	0	S1_Accel: 20.43 | S1_Delta: 14.69 | S2_Delta: -9.00
2019/Q1	Danger (위험!!)	0.082727273	0.020909091	0.896363636	0	0	S1_Accel: -33.68 | S1_Delta: -18.99 | S2_Delta: -44.77
2019/Q2	Caution (주의)	0.213706722	0.762122643	0.024170635	0	0	S1_Accel: 48.62 | S1_Delta: 29.63 | S2_Delta: 48.69
2019/Q3	Danger (위험!!)	0.063330087	0.145817821	0.790852092	1	0	S1_Accel: -19.66 | S1_Delta: 9.97 | S2_Delta: 4.46
2019/Q4	Normal (정상)	0.769927126	0.117666573	0.112406302	1	0	S1_Accel: 15.51 | S1_Delta: 25.48 | S2_Delta: -4.98
2020/Q1	Danger (위험!!)	0.027272727	0.086350649	0.886376623	0	1	S1_Accel: -78.88 | S1_Delta: -53.40 | S2_Delta: 12.81
2020/Q2	Normal (정상)	0.778482647	0.096583389	0.124933964	0	0	S1_Accel: 44.48 | S1_Delta: -8.93 | S2_Delta: -8.34
2020/Q3	Normal (정상)	0.924595962	0.060606544	0.014797494	0	0	S1_Accel: 27.75 | S1_Delta: 18.83 | S2_Delta: -17.57
2020/Q4	Caution (주의)	0.111452381	0.682876984	0.205670635	0	0	S1_Accel: -10.73 | S1_Delta: 8.10 | S2_Delta: 1.15
2021/Q1	Danger (위험!!)	0.01	0.106714286	0.883285714	0	0	S1_Accel: -27.67 | S1_Delta: -19.57 | S2_Delta: 12.90
2021/Q2	Normal (정상)	0.837346683	0.038360873	0.124292444	0	0	S1_Accel: 16.79 | S1_Delta: -2.78 | S2_Delta: -38.44
2021/Q3	Normal (정상)	0.740456829	0.211697318	0.047845852	0	0	S1_Accel: 10.78 | S1_Delta: 8.00 | S2_Delta: 32.16
2021/Q4	Normal (정상)	0.93700842	0.045050988	0.017940592	0	0	S1_Accel: 1.66 | S1_Delta: 9.67 | S2_Delta: -10.72
2022/Q1	Danger (위험!!)	0.022272727	0.029350649	0.948376623	0	0	S1_Accel: -40.06 | S1_Delta: -30.39 | S2_Delta: 23.00
2022/Q2	Caution (주의)	0.276588884	0.113135281	0.610275835	0	0	S1_Accel: 8.61 | S1_Delta: -21.78 | S2_Delta: -7.42
2022/Q3	Caution (주의)	0.309644995	0.121553152	0.568801853	0	1	S1_Accel: 12.52 | S1_Delta: -9.26 | S2_Delta: -0.62
2022/Q4	Caution (주의)	0.094181506	0.756901533	0.148916961	0	0	S1_Accel: -6.04 | S1_Delta: -15.30 | S2_Delta: 2.25
2023/Q1	Normal (정상)	0.706017445	0.144325973	0.149656582	0	0	S1_Accel: 15.81 | S1_Delta: 0.51 | S2_Delta: 11.33
2023/Q2	Caution (주의)	0.065347884	0.723861111	0.210791005	0	0	S1_Accel: -10.83 | S1_Delta: -10.32 | S2_Delta: -6.73
2023/Q3	Caution (주의)	0.451817596	0.491654549	0.056527855	0	0	S1_Accel: 13.86 | S1_Delta: 3.54 | S2_Delta: -3.54
2023/Q4	Caution (주의)	0.104240114	0.407626225	0.488133661	0	0	S1_Accel: -9.28 | S1_Delta: -5.75 | S2_Delta: -1.46
2024/Q1	Caution (주의)	0.365712364	0.133814674	0.500472962	0	1	S1_Accel: 4.97 | S1_Delta: -0.77 | S2_Delta: 8.43
2024/Q2	Normal (정상)	0.703490316	0.239137444	0.05737224	0	0	S1_Accel: -3.59 | S1_Delta: -4.36 | S2_Delta: -4.70
2024/Q3	Caution (주의)	0.341875725	0.508142296	0.149981979	0	0	S1_Accel: 2.65 | S1_Delta: -1.71 | S2_Delta: 10.29
2024/Q4	Normal (정상)	0.923754565	0.050329032	0.025916403	0	0	S1_Accel: -1.45 | S1_Delta: -3.16 | S2_Delta: -13.41
2025/Q1	Normal (정상)	0.714596442	0.129422299	0.155981259	0	0	S1_Accel: 8.99 | S1_Delta: 5.82 | S2_Delta: 4.44
2025/Q2	Caution (주의)	0.120971861	0.692137085	0.186891053	0	0	S1_Accel: -9.96 | S1_Delta: -4.14 | S2_Delta: -6.25
