제도부문코드,계정항목,자산/부채,단위,변환,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4,2025/Q1,2025/Q2,2025/Q3,2025/Q4
금융법인,(6) 유동화증권,자산,십억원,원자료,939.9,487.2,413.5,213.2,186.0,256.2,294.9,2210.4,117.1,225.2,239.7,1454.6,2085.2,1949.8,2136.6,3725.7,3245.7,4468.4,4710.5,4438.8,4977.6,5667.2,8426.2,6532.1,7236.3,7969.1,7482.0,6800.8,6600.5,6500.0,6227.4,6028.1,5292.5,5229.9,5177.8,6485.2,6102.9,5541.2,5354.7,5828.5,6955.6,7338.4,8105.7,9233.5,7031.2,6556.3,6440.5,6994.4,15857.0,19302.6,21388.8,10999.2,12635.3,14160.4,13933.5,14554.8,13509.9,14952.4,15555.3,17847.5,21255.1,24327.7,,
금융법인,(6) 유동화증권,부채,십억원,원자료,2350.0,2437.0,2492.4,2643.0,2540.8,2621.5,2550.2,2769.8,1950.5,2048.0,2271.6,2404.7,2288.3,2378.6,2749.1,4122.4,4192.2,6002.1,5255.9,7267.7,6906.0,12028.3,15240.4,12588.1,14746.8,12500.5,11389.1,12145.6,12722.8,11948.9,13131.3,12825.9,12607.9,11812.6,11550.0,11050.8,12077.5,10989.1,9563.0,8493.5,7800.8,8706.1,9182.9,10034.2,7876.4,6883.8,6733.6,7226.7,19215.4,20342.7,22454.8,18924.3,20144.1,19756.4,16974.1,17498.5,15929.5,16740.6,18102.6,20841.3,24906.1,26847.8,,
금융법인,(3) 기업어음,자산,십억원,원자료,5798.6,7289.5,10731.6,13964.6,18191.2,22170.7,23381.9,27422.9,36229.7,41189.8,45087.0,46197.6,47685.4,48626.2,49059.2,46818.2,42782.7,37857.5,32977.2,29727.0,26755.4,21584.1,10766.0,9570.8,9405.0,7832.0,7922.9,8322.2,10062.5,14051.9,13649.2,14338.0,14173.9,14654.4,15682.2,17818.5,20150.0,18458.1,18440.7,18587.5,20151.4,16348.0,14457.1,14006.9,15137.3,17406.5,22089.5,28305.0,29862.5,38807.3,40730.2,42813.1,42147.0,42287.4,37031.6,35738.9,34486.4,30899.4,30327.6,27094.9,21429.8,19045.6,,
금융법인,(3) 기업어음,부채,십억원,원자료,2919.5,3734.2,5748.1,8275.7,10913.3,12896.5,14014.3,20004.8,26514.9,30336.8,34119.4,38097.2,41634.3,43429.1,44980.6,46195.5,42890.8,39564.4,36803.8,33435.9,29861.3,23969.8,15721.5,14682.4,17252.8,16348.5,18607.7,17910.3,20462.8,25213.9,24392.0,24703.7,22504.0,19767.1,18956.5,25441.2,25355.4,25211.7,25982.5,24277.3,24834.9,22178.7,25684.5,28692.8,29427.1,39152.4,42917.6,50924.4,49733.7,61902.3,64123.6,62482.9,53104.0,49286.5,50387.8,47279.3,41519.2,36652.5,37650.6,35289.5,29201.9,26266.5,,
금융법인,(6) 유동화증권,자산,십억원,원자료,41266.0,42540.1,43190.0,39944.9,38253.4,37312.1,39492.3,44704.2,45983.7,46845.2,53594.0,54153.7,56652.2,59162.0,61010.0,61707.0,59445.3,58030.6,55441.7,58418.9,57223.6,81255.9,87464.5,91937.2,93380.9,95925.4,98659.1,101639.3,102676.2,106649.2,108243.2,108467.0,109211.9,110878.0,111483.9,115283.7,118186.8,118982.6,122240.1,131733.3,137150.4,141886.1,145030.6,142444.9,144671.4,150406.7,152860.9,155952.0,148328.4,144435.2,142304.9,133248.4,140343.4,144051.2,149462.5,154863.9,155794.3,156494.5,158638.8,159231.7,157859.2,151617.7,,
금융법인,(6) 유동화증권,부채,십억원,원자료,54130.3,56134.6,57413.2,60888.4,58543.9,60402.0,58758.7,63378.0,65311.6,68580.2,76059.6,80499.8,85433.9,95231.1,97295.9,94123.3,96198.7,92699.1,93744.4,100811.2,108583.5,134347.8,144094.9,146565.9,149135.6,150092.5,152792.0,154452.1,159816.7,163346.1,165803.2,168626.0,171010.1,170468.1,168482.2,179239.0,183201.3,188463.7,185603.7,192259.8,202725.4,209489.7,215830.8,221719.8,217769.3,223934.6,225633.0,219771.9,211985.4,210818.8,204313.3,205963.1,207897.5,208740.5,213792.7,220087.9,215536.4,215367.0,218884.2,222966.8,222904.3,220372.0,,
비금융법인,(3) 기업어음,자산,십억원,원자료,7111.9,7986.6,7401.2,5584.9,3671.0,2932.7,4996.3,3455.8,7992.2,5335.4,1813.7,464.5,4355.2,9315.7,9275.6,7844.4,7183.0,8318.2,12307.1,10953.4,11258.7,9500.0,10871.3,12284.4,14456.4,14994.5,13553.2,15415.5,13848.0,14687.0,14301.9,14862.5,18459.7,15172.0,14921.4,16220.1,14447.5,18642.8,19717.9,18654.9,15916.6,12843.2,14947.7,13092.6,13072.8,15287.1,17061.3,17981.4,14655.1,10810.3,9635.1,9249.0,11727.4,7446.9,9726.6,7281.9,7523.5,5712.1,5053.2,3897.0,6667.9,4928.2,,
비금융법인,(3) 기업어음,부채,십억원,원자료,22449.9,21718.3,21510.7,16565.3,14059.9,12022.2,16867.7,15746.3,18244.5,18603.2,19778.1,18680.0,21435.7,25907.3,26977.7,20466.0,21275.5,20556.2,20099.5,16718.3,17808.8,17078.5,15248.1,14108.1,12722.5,12739.7,12470.4,13282.1,13275.8,12516.6,13876.4,13001.4,16019.0,16058.6,16813.9,15681.3,17108.3,16342.6,15896.3,12476.6,16559.8,14730.0,14099.0,11472.8,13827.2,16659.7,17101.9,16432.1,18542.3,18881.1,20075.1,28288.1,35314.1,32533.9,36804.5,35207.9,37789.3,36735.1,36518.4,36509.6,40421.7,39885.8,,
비금융법인,(6) 유동화증권,자산,십억원,원자료,524.6,667.4,813.5,750.1,759.6,711.4,517.5,81.5,375.2,322.5,294.0,131.3,19.7,56.2,82.0,49.9,112.2,101.1,59.5,356.5,304.6,2318.5,1470.5,1198.9,2070.0,837.2,790.8,1109.6,1465.2,1129.3,2062.6,2052.9,2346.5,2208.0,2168.3,1727.9,2353.5,2221.2,1719.6,1335.6,469.6,717.1,560.2,389.3,398.7,148.7,123.2,84.1,1326.8,376.0,232.6,2365.4,1896.2,1400.9,587.0,500.1,386.8,207.8,305.1,645.6,737.1,389.5,,
비금융법인,(6) 유동화증권,부채,십억원,원자료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
비금융법인,(3) 기업어음,자산,십억원,원자료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.5,308.3,0.0,0.0,706.9,5391.2,6918.1,8514.9,7886.0,10448.8,11019.7,11240.9,11008.7,9873.8,9221.4,10315.1,10954.9,11237.5,11547.3,12601.4,11446.0,11803.8,12297.5,12305.9,12436.6,12825.7,9044.7,7957.4,12188.8,11015.8,12963.9,13753.7,11381.1,11235.9,10647.9,13971.1,17578.9,17292.3,24925.2,24918.9,29474.8,29373.2,34318.8,34437.4,30585.8,23773.4,20721.2,21223.4,19236.3,15005.5,15073.6,14870.8,15605.2,12400.1,10695.1,,
비금융법인,(3) 기업어음,부채,십억원,원자료,2880.5,3558.3,4989.4,5692.0,7328.3,9306.9,9403.4,8281.0,10052.5,10887.4,11000.4,8665.2,11955.0,13591.1,13524.1,10270.1,12013.2,11141.6,9285.4,9529.2,8706.9,8666.8,7930.6,7953.5,6211.3,5504.8,4870.2,4586.3,4321.9,4958.7,5380.1,5770.1,7823.0,6979.6,7364.4,7581.8,8198.9,8583.9,8829.1,7797.8,8659.7,7272.0,7157.4,7578.4,8727.7,10065.4,10803.2,9965.3,10449.5,12565.5,12053.4,12059.9,13633.0,14716.7,9365.1,9108.9,9202.6,10298.9,9625.7,9564.1,6528.9,6244.2,,
비금융법인,(6) 유동화증권,자산,십억원,원자료,2042.3,1804.9,1946.2,3326.3,3172.0,3549.3,1797.9,1140.5,1610.6,1597.6,1108.1,1136.9,1205.5,2071.6,1954.5,1182.9,1947.8,1440.8,1459.2,1639.5,5037.1,5848.0,7250.9,7163.4,8171.6,6027.0,4942.5,4540.5,4696.6,3697.8,4333.8,4332.5,5579.3,4858.7,4002.2,7575.6,8259.9,10944.8,8830.6,9474.6,11209.0,11518.6,11292.6,15254.0,11069.9,11280.0,12112.8,7463.3,7656.2,8557.7,6998.8,8847.5,5907.7,4965.5,5257.8,4667.4,4106.4,4324.3,4668.7,5345.7,7164.4,9694.1,,
비금융법인,(6) 유동화증권,부채,십억원,원자료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
