YYYYMM,balance_total_amt,bal_share_top,bal_share_high_mid,bal_share_low,bal_share_distress,bal_amt_top,bal_amt_high_mid,bal_amt_low,bal_amt_distress
201905,110318500000000.0,0.9530441403753676,0.0466712292135951,0.0002846304110371,0.0,105138399999999.98,5148699999999.991,31399999999.996315,0.0
201906,113961300000000.0,0.9550189406403752,0.0447055272272253,0.0002755321323993,0.0,108835199999999.98,5094699999999.991,31399999999.99635,0.0
201907,116068700000000.0,0.9554798149716504,0.0442513787093333,0.0002688063190162,0.0,110901300000000.0,5136199999999.994,31199999999.99561,0.0
201908,122900600000000.0,0.956573849110582,0.0431722871979469,0.0002538636914709,0.0,117563499999999.98,5305899999999.992,31199999999.98849,0.0
201909,123280200000000.0,0.9521845357161978,0.0475623822803661,0.000253082003436,0.0,117385500000000.0,5863499999999.988,31199999999.990765,0.0
201910,127314500000000.0,0.9538128021552926,0.0459437063335283,0.000243491511179,0.0,121434200000000.0,5849299999999.989,30999999999.9988,0.0
201911,136063800000000.0,0.9542641025754096,0.0455080631292085,0.000227834295382,0.0,129840800000000.02,6191999999999.999,30999999999.99737,0.0
201912,131081800000000.0,0.9540599839184388,0.0457035225332578,0.0002364935483034,0.0,125059900000000.02,5990899999999.992,30999999999.996616,0.0
202001,129828100000000.0,0.9556582896922932,0.0441044735307687,0.0002372367769381,0.0,124071300000000.0,5725999999999.991,30799999999.99734,0.0
202002,128864000000000.0,0.9533190029798858,0.0464419853488949,0.0002390116712192,0.0,122848500000000.0,5984699999999.992,30799999999.99099,0.0
202003,124330000000000.0,0.9583785088072068,0.0413737633716721,0.0002477278211212,0.0,119155200000000.02,5143999999999.992,30799999999.998795,0.0
202004,118898800000000.0,0.9618356114611754,0.0381643885388246,0.0,0.0,114361100000000.0,4537699999999.998,0.0,0.0
202005,117202800000000.0,0.9619335032951432,0.0380664967048568,0.0,0.0,112741300000000.0,4461499999999.991,0.0,0.0
202006,113122500000000.0,0.9608300735927866,0.0391699264072134,0.0,0.0,108691500000000.0,4430999999999.998,0.0,0.0
202007,112094100000000.0,0.9551930030215684,0.0448069969784315,0.0,0.0,107071499999999.98,5022599999999.998,0.0,0.0
202008,112690200000000.0,0.9515388205895456,0.0484611794104545,0.0,0.0,107229100000000.02,5461099999999.999,0.0,0.0
202009,120013100000000.0,0.9482598149701992,0.0517401850298009,0.0,0.0,113803600000000.02,6209499999999.998,0.0,0.0
202010,126979900000000.0,0.9470853261027926,0.0529146738972073,0.0,0.0,120260800000000.0,6719099999999.993,0.0,0.0
202011,129956500000000.0,0.945451747315448,0.0545482526845521,0.0,0.0,122867600000000.02,7088899999999.995,0.0,0.0
