플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
70406,나이스을지로제일차,KRZS0014Z009,나이스을지로제일차 20260313-61-1(단),Y,20260313,20260513,PF대출채권,KRW,,19890000000,19890000000,21,N,,A1,,,아이비투자을지로(주),외부 신용보강,일반기업,메리츠증권
70416,뉴월드수표제일차,KRZS0053W004,뉴월드수표제일차 20260313-92-1(단),Y,20260313,20260613,PF대출채권,KRW,,20000000000,20000000000,52,N,A1,A1,,,아이비투자을지로(주),외부 신용보강,일반기업,NH투자증권
73564,더블유디디비제이차,KRZS45681006,더블유디디비제이차 20260313-14-1(단),N,20260313,20260327,대출채권,KRW,,20000000000,20000000000,0,N,A1,,A1,,케이디비인베스트먼트글로벌헬스케어제일호(주),외부 신용보강,금융기관,디비증권(주)
74136,디비로아제삼차,KRZS0004S006,디비로아제삼차 20260313-92-1(단),N,20260313,20260613,대출채권,KRW,,25000000000,25000000000,52,N,A3,A3,,,글로벌세아,외부 신용보강,일반기업,세아상역
70410,디비프리드제일차,KRZS0062Y007,디비프리드제일차 20260313-31-1(단),N,20260313,20260413,대출채권,KRW,,8000000000,8000000000,0,N,A1,,A1,,(주)더블유제이라이프,외부 신용보강,금융기관,디비증권(주)
71277,디에스울산야음,KRZS0094V014,디에스울산야음 20260313-31-1(단),Y,20260313,20260413,PF대출채권,KRW,,40000000000,40000000000,0,N,A1,A1,,,주식회사유선홀딩스,외부 신용보강,금융기관,대신증권
71277,디에스울산야음,KRZS0094V015,디에스울산야음 20260313-31-2(단),Y,20260313,20260413,PF대출채권,KRW,,40000000000,40000000000,0,N,A1,A1,,,주식회사유선홀딩스,외부 신용보강,금융기관,대신증권
74128,리에스제삼차,KRZS0167W001,리에스제삼차 20260313-31-1(단),Y,20260313,20260413,PF대출채권,KRW,,17500000000,17500000000,0,N,A1,A1,,,이지스전문투자형사모부동산투자신탁제389호,외부 신용보강,금융기관,NH투자증권
74127,리에스제이차,KRZS0167V001,리에스제이차 20260313-14-1(단),Y,20260313,20260327,PF대출채권,KRW,,15750000000,15750000000,0,N,A1,A1,,,이지스전문투자형사모부동산투자신탁제389호,외부 신용보강,금융기관,NH투자증권
74126,리에스제일차,KRZS0167P001,리에스제일차 20260313-3-1(단),Y,20260313,20260316,PF대출채권,KRW,,61400000000,61400000000,0,N,A1,A1,,,이지스전문투자형사모부동산투자신탁제389호,외부 신용보강,금융기관,NH투자증권
69765,모니모망포제일차,KRZS0042M016,모니모망포제일차 20260313-17-1(단),Y,20260313,20260330,PF대출채권,KRW,,16200000000,16200000000,0,N,A1,A1,,,망포역세권개발피에프브이(주),외부 신용보강,금융기관,삼성증권
74120,비나리제사차,KRZS0145X001,비나리제사차 20260313-59-1(단),Y,20260313,20260511,PF대출채권,KRW,,50000000000,50000000000,19,N,A1,A1,,,하율디앤씨 주식회사,외부 신용보강,일반기업,현대건설
74120,비나리제사차,KRZS0145X001,비나리제사차 20260313-59-1(단),Y,20260313,20260511,PF대출채권,KRW,,50000000000,50000000000,19,N,A1,A1,,,하율디앤씨 주식회사,자체 신용보강,자체 신용보강,세금환급(국세및지방세등)
71727,비엔케이제이넘버원제일차,KRZS0063S016,비엔케이제이넘버원제일차 20260313-18-1(단),N,20260313,20260331,대출채권,KRW,,13100000000,13100000000,0,N,,A1,A1,,웅진,외부 신용보강,금융기관,비엔케이투자증권
74101,비케이프로제구차,KRZS45714269,비케이프로제구차 20260313-31-5(단),N,20260313,20260413,매출채권,KRW,,4400000000,4400000000,0,N,,,A1,A1,SK에너지,자체 신용보강,자체 신용보강,SK에너지
55581,신한프라이머리텀론비제사차,KRZS40488059,신한프라이머리텀론비제사차 20260313-31-1(단),N,20260313,20260413,대출채권,USD,1479.8,10000000,14798000000,0,N,,A1,A1,,Project Sky Merger Sub,차환발행위험(유동성 공여형 매입약정),금융기관,신한투자증권(주)
67092,아이스오아시스펄,KRZS49128008,아이스오아시스펄 20260313-91-1(단),Y,20260313,20260612,PF대출채권,KRW,,17500000000,17500000000,51,N,A1,,A1,,충주드림파크개발(주),외부 신용보강,금융기관,하나증권(주)
71261,알에이청라제일차,KRZS0093S007,알에이청라제일차 20260313-61-1(단),Y,20260313,20260513,PF대출채권,KRW,,17000000000,17000000000,21,N,A1,,A1,,(주)블루아일랜드개발,차환발행위험(유동성 공여형 매입약정),금융기관,NH투자증권
70949,알파비전제사차,KRZS0086Z009,알파비전제사차 20260313-31-1(단),N,20260313,20260413,회사채,KRW,,5000000000,5000000000,0,N,,A1,A1,,애플자산관리대부(주),외부 신용보강,금융기관,디비증권(주)
74124,야음이글스제이차,KRZS46636012,야음이글스제이차 20260313-91-1(단),Y,20260313,20260612,PF대출채권,KRW,,18000000000,18000000000,51,N,A1,A1,,,(주)창연건설,외부 신용보강,일반기업,현대건설
74088,에스디비제이차,KRZS48325010,에스디비제이차 20260313-91-1(단),N,20260313,20260612,수익증권,KRW,,89700000000,89700000000,51,N,,A1,A1,,한화토탈에너지스(주),자체 신용보강,자체 신용보강,한화토탈에너지스(주)
71211,에스엘티야음,KRZS0070N008,에스엘티야음 20260313-31-1(단),Y,20260313,20260413,PF대출채권,KRW,,24000000000,24000000000,0,N,A1,A1,,,주식회사유선홀딩스,외부 신용보강,금융기관,메리츠증권
74121,에이치씨디제삼차,KRZS46276136,에이치씨디제삼차 20260313-91-1(단),N,20260313,20260612,매출채권,KRW,,10400000000,10400000000,51,N,,A1,A1,,한화토탈에너지스(주),자체 신용보강,자체 신용보강,한화토탈에너지스(주)
74122,에이치씨디제칠차,KRZS46322036,에이치씨디제칠차 20260313-91-1(단),N,20260313,20260612,매출채권,KRW,,27100000000,27100000000,51,N,,A1,A1,,한화솔루션,자체 신용보강,자체 신용보강,한화솔루션
69755,에이치에스알제일차,KRZS0049R017,에이치에스알제일차 20260313-7-1(단),Y,20260313,20260320,PF대출채권,KRW,,10000000000,10000000000,0,N,A1,A1,,,(주)쌍령파크개발,외부 신용보강,금융기관,하나증권(주)
74134,에코야음제이차,KRZS44735021,에코야음제이차 20260313-31-2(단),Y,20260313,20260413,PF대출채권,KRW,,53000000000,53000000000,0,N,A1,A1,,,(주)창연건설,외부 신용보강,금융기관,한화투자증권
61945,에프엔학하제삼차,KRZS45868029,에프엔학하제삼차 20260313-11-1(단),Y,20260313,20260324,PF대출채권,KRW,,11800000000,11800000000,0,N,A1,,A1,,(주)평정,외부 신용보강,금융기관,삼성증권
73147,엔에이치도안제이차,KRZS0150Y006,엔에이치도안제이차 20260313-10-1(단),Y,20260313,20260323,PF대출채권,KRW,,9300000000,9300000000,0,N,A1,A1,,,(주)아이에스파트너스,외부 신용보강,금융기관,NH투자증권
70405,와이케이써킷제일차,KRZS0072A005,와이케이써킷제일차 20260313-63-1(단),N,20260313,20260515,대출채권,KRW,,600000000,600000000,23,N,A1,,A1,,(주)플러스원투자목적회사,외부 신용보강,금융기관,유안타증권
73628,와이케이코펜제일차,KRZS0155L003,와이케이코펜제일차 20260313-17-1(단),N,20260313,20260330,대출채권,KRW,,12200000000,12200000000,0,N,A1,,A1,,코스모제이호(유),외부 신용보강,금융기관,유안타증권
74125,유럽가온누리제일차,KRZS39930023,유럽가온누리제일차 20260313-62-1(단),N,20260313,20260514,수익증권,KRW,,13900000000,13900000000,22,N,A1,,A1,,현대인베스트먼트자산운용,외부 신용보강,금융기관,한화투자증권
