플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
73239,관양동한투제이차,KRZS43624021,관양동한투제이차 20260327-91-1(단),Y,20260327,20260626,PF대출채권,KRW,,12000000000,12000000000,65,N,A1,A1,,,(주)엘피,외부 신용보강,금융기관,한국투자증권
74356,그린플레이트제일차,KRZS0034H001,그린플레이트제일차 20260327-92-1(단),N,20260327,20260627,대출채권,KRW,,19000000000,19000000000,66,N,A2-,A2-,,,(주)소노인터내셔널,자체 신용보강,자체 신용보강,(주)소노인터내셔널
74265,글로리부성제일차,KRZS0160M002,글로리부성제일차 20260327-4-2(단),,20260327,20260331,,KRW,,33000000000,33000000000,0,N,,A1,A1,,,,,
72760,뉴스타시네제일차,KRZS0138W008,뉴스타시네제일차 20260327-14-2(단),Y,20260327,20260410,PF대출채권,KRW,,47328000000,47328000000,0,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZS0138W007,뉴스타시네제일차 20260327-4-1(단),Y,20260327,20260331,PF대출채권,KRW,,34420000000,34420000000,0,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
74371,뉴에스에프제육차,KRZS48897007,뉴에스에프제육차 20260327-92-1(단),,20260327,20260627,,KRW,,10000000000,10000000000,66,N,A2,,A2,,,,,
73938,더모스트성수제일차,KRZS0139N002,더모스트성수제일차 20260327-66-1(단),Y,20260327,20260601,PF대출채권,KRW,,16500000000,16500000000,40,N,A1,,A1,,에이치엘성수프로젝트위탁관리부동산투자회사(주),외부 신용보강,금융기관,한화투자증권
73564,더블유디디비제이차,KRZS45681007,더블유디디비제이차 20260327-4-2(단),N,20260327,20260331,대출채권,KRW,,20000000000,20000000000,0,N,A1,,A1,,케이디비인베스트먼트글로벌헬스케어제일호(주),외부 신용보강,금융기관,디비증권(주)
72805,더에이치김포,KRZS0141F004,더에이치김포 20260327-32-1(단),Y,20260327,20260428,PF대출채권,KRW,,43100000000,43100000000,6,N,A1,A1,,,(주)한강시네폴리스개발,외부 신용보강,금융기관,현대차증권
74368,더에이치마리타임제일차,KRZS0181Z001,더에이치마리타임제일차 20260327-5-1(단),N,20260327,20260401,대출채권,KRW,,22000000000,22000000000,0,N,,A1,,,시노코페트로케미컬,외부 신용보강,금융기관,현대차증권
74368,더에이치마리타임제일차,KRZS0181Z001,더에이치마리타임제일차 20260327-5-1(단),N,20260327,20260401,대출채권,KRW,,22000000000,22000000000,0,N,,A1,,,장금마리타임 주식회사,외부 신용보강,금융기관,현대차증권
73998,더에이치소나무제일차,KRZS0166B003,더에이치소나무제일차 20260327-3-3(단),Y,20260327,20260330,PF대출채권,KRW,,30000000000,30000000000,0,N,A1,,A1,,(주)대신피플앤피플,외부 신용보강,금융기관,현대차증권
74223,디비엠비피제사차,KRZS0058Z022,디비엠비피제사차 20260327-91-2(단),N,20260327,20260626,매출채권,KRW,,10500000000,10500000000,65,N,,A2+,A2+,,녹십자,자체 신용보강,자체 신용보강,녹십자
