YYYYMM,date,cp_balance_amt,abcp_balance_amt,ab_balance_amt,cp_balance_share,abcp_balance_share,ab_balance_share,cp_share_baseline,abcp_share_baseline,ab_share_baseline,cp_share_z,abcp_share_z,ab_share_z,balance_core,credit_core,tenor_core,precursor_avg,precursor_max,MSI_precursor_v562_raw,trend_avg,trend_max,MSI_trend_v562_raw,MSI_total_v562_raw,hidden_risk_boost_v562,MSI_precursor_v562,MSI_trend_v562,MSI_total_v562,MSI_precursor_v562_상태,MSI_trend_v562_상태,MSI_v562_상태,anchor_month_v562,anchor_raw_v562,target_anchor_v562,scale_factor_v562,total_balance_amt,cp_issue_share_top,cp_issue_share_high,ab_issue_share_top,ab_issue_share_high,abcp_short_pressure,ab_short_pressure,cp_short_pressure,cp_share_risk,abcp_share_risk,ab_share_risk,cp_credit_top_z,cp_credit_top_risk,cp_credit_high_z,cp_credit_high_risk,cp_credit_core,ab_credit_top_z,ab_credit_top_risk,ab_credit_high_z,ab_credit_high_risk,ab_credit_core,abcp_tenor_z,abcp_tenor_risk,ab_tenor_z,ab_tenor_risk,cp_tenor_z,cp_tenor_risk
201601,2016-01-01,35117600000000.0,90478100000000.0,22034800000000.0,0.23787496486159704,0.6128686145478068,0.14925642059059613,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,147630500000000.0,0.8392034194989163,0.1504338509781321,0.535560457715363,0.4225481306380477,0.0870893137491005,0.10529065292604001,0.5368187750538268,,,,,,,,,,,,,,,,,,,
201602,2016-02-01,33980200000000.0,90587400000000.0,22316400000000.0,0.23134037744070152,0.6167274856349227,0.1519321369243757,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,146884000000000.0,0.8324460352035397,0.1570146640107574,0.470726253323686,0.4742338028923885,0.0715550364977668,0.1167830111332043,0.5243342367226071,,,,,,,,,,,,,,,,,,,
201603,2016-03-01,34839900000000.0,93314800000000.0,22975300000000.0,0.2305293455965063,0.6174472308608483,0.1520234235426454,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,151130000000000.0,0.8311318233628047,0.1485956125175954,0.5806581655719224,0.3501354791490873,0.1751777815269013,0.4117821479423279,0.4780260217499466,,,,,,,,,,,,,,,,,,,
201604,2016-04-01,34477500000000.0,92927700000000.0,23516400000000.0,0.22844642516379365,0.6157349246231156,0.15581865021309077,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,150921600000000.0,0.8054965340439688,0.1776372865134285,0.660272653027035,0.3044581382045989,0.1008738857843644,0.370961706437742,0.4971265182514432,,,,,,,,,,,,,,,,,,,
201605,2016-05-01,33393400000000.0,95659800000000.0,23685600000000.0,0.21863076048783936,0.6262966580855683,0.15507258142659233,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,152738800000000.0,0.8373255660453688,0.1533656118655544,0.5744255736489042,0.3796273152854221,0.1108332015891626,0.3431773327012953,0.5768941438474059,,,,,,,,,,,,,,,,,,,
201606,2016-06-01,32941500000000.0,98811200000000.0,25641900000000.0,0.20929244078259357,0.6277928213547351,0.16291473786267127,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,157394600000000.0,0.8546171745190452,0.1299706110646462,0.6692027344429347,0.2789005658852061,0.1359762235790853,0.4007045018321409,0.5201702525275079,,,,,,,,,,,,,,,,,,,
201607,2016-07-01,34403900000000.0,101511200000000.0,25760200000000.0,0.2127962651066675,0.6278708003015921,0.15933293459174036,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,161675300000000.0,0.8050608577071537,0.186333245018525,0.6609005071577411,0.2830172259583541,0.0879982222063123,0.3166035776161487,0.3852161910144152,,,,,,,,,,,,,,,,,,,
201608,2016-08-01,34624600000000.0,107164200000000.0,26194200000000.0,0.20611966687105243,0.6379466969871951,0.15593363614175243,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,167983000000000.0,0.8083872732666055,0.1631984714214687,0.61408215468246,0.3166248206469331,0.1766274702541683,0.3917213927521699,0.5366230635897147,,,,,,,,,,,,,,,,,,,
201609,2016-09-01,35760900000000.0,105597400000000.0,26416300000000.0,0.21314847420288888,0.6294003979148214,0.15745112788228968,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,167774600000000.0,0.8367790877508593,0.1417126737983457,0.7013403412124631,0.2377031827056526,0.1160578926193874,0.3881392273170945,0.470010074865885,,,,,,,,,,,,,,,,,,,
201610,2016-10-01,36258300000000.0,104361100000000.0,27196000000000.0,0.2160606237568185,0.6218803518628206,0.1620590243803608,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,167815400000000.0,0.8361773069172406,0.1406544943797408,0.6664606640354396,0.2819900805666213,0.08643389057138881,0.367140174102451,0.39854121293430855,,,,,,,,,,,,,,,,,,,
201611,2016-11-01,36207500000000.0,106368400000000.0,25650500000000.0,0.2152307842288725,0.6322931478055763,0.1524760679655512,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,168226400000000.0,0.8416366973982826,0.1409895509948157,0.5923862885050912,0.354836105638257,0.09254403538868289,0.3484408045481459,0.48417140494924227,,,,,,,,,,,,,,,,,,,
201612,2016-12-01,36403600000000.0,102657700000000.0,25697000000000.0,0.22095153931546999,0.6230805974570022,0.15596786322752784,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,164758300000000.0,0.8423868571094493,0.1422278149633633,0.7278089927962283,0.2109010244110632,0.1041205816904766,0.3746170713999642,0.4469959753095145,,,,,,,,,,,,,,,,,,,
201701,2017-01-01,38114100000000.0,104913200000000.0,26581200000000.0,0.224718100802731,0.6185609801395567,0.15672091905771232,0.2076954961636012,0.6329027821498435,0.15940172168655506,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,169608500000000.0,0.8038483678496131,0.1752768885944162,0.6670374148370488,0.2790992800995248,0.10515648939459599,0.3640744363965135,0.3521289715135303,,,,,,,,,,,,,,,,,,,
201702,2017-02-01,39300800000000.0,106992600000000.0,27228500000000.0,0.2264889907268189,0.6165942166377846,0.15691679263539646,0.211034814080108,0.6298424027923467,0.15912278312754538,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,173521900000000.0,0.8090741387857264,0.1710645006623162,0.6286533452845774,0.3235109692320428,0.1215229050768627,0.3114807894880731,0.40447139621538675,,,,,,,,,,,,,,,,,,,
201703,2017-03-01,40076000000000.0,104972700000000.0,27552500000000.0,0.23218842047448104,0.6081805920236939,0.15963098750182503,0.21411307130250748,0.6269368828880204,0.1589500458094718,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,172601200000000.0,0.8150808909124844,0.157373663353905,0.6925503516213894,0.2439709252730718,0.1216607694536902,0.4071249669574476,0.34700064459717417,,,,,,,,,,,,,,,,,,,
201704,2017-04-01,42509100000000.0,105612800000000.0,26919000000000.0,0.2428523847854987,0.6033607002706225,0.15378691494387883,0.2180374904997077,0.6224363618596188,0.15952614764067372,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,175040900000000.0,0.8300827232265056,0.1515271596050117,0.6773169284731161,0.2857599428189538,0.1394657769718951,0.36233103397520317,0.4149797772873554,,,,,,,,,,,,,,,,,,,
201705,2017-05-01,42788100000000.0,103386600000000.0,28279200000000.0,0.2452688074041337,0.5926299154103176,0.16210127718554873,0.22379742388512872,0.6176996957261803,0.15850288038869156,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,174453900000000.0,0.8417076791706085,0.1320726638817139,0.6666619762413601,0.2845740635525861,0.136482095110709,0.3550239813368753,0.4806192435544455,,,,,,,,,,,,,,,,,,,
201706,2017-06-01,40917400000000.0,107050100000000.0,25992100000000.0,0.23521208372518676,0.6153733395570006,0.14941457671781264,0.228953111312819,0.6114123864982655,0.15963450218891567,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,173959600000000.0,0.8427910195959684,0.1243586970627676,0.6559659739063646,0.2798211668531529,0.11951366728913951,0.3982915806030934,0.4961303990661074,,,,,,,,,,,,,,,,,,,
201707,2017-07-01,43332700000000.0,106421400000000.0,26834500000000.0,0.2453878676199936,0.6026515867955236,0.1519605455844828,0.2308685987790279,0.6114124965802884,0.15771890464068372,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,176588600000000.0,0.8177219979818365,0.1618125630676084,0.7376516407419764,0.2279535902067047,0.099839402991579,0.40777060219583705,0.3868880347804171,,,,,,,,,,,,,,,,,,,
201708,2017-08-01,45354400000000.0,107632500000000.0,25730500000000.0,0.2537771923718675,0.602249697007678,0.14397311062045443,0.2345596981975285,0.6087574832160698,0.1566828185864013,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,178717400000000.0,0.8000575315724534,0.152242260091839,0.6464963113924801,0.3058981789253586,0.15359714620967302,0.2754346493735486,0.36340092487062287,,,,,,,,,,,,,,,,,,,
201709,2017-09-01,44574500000000.0,101332600000000.0,29566100000000.0,0.2540245461985078,0.5774819174665989,0.1684935363348933,0.23926685988712998,0.6065069845156276,0.15422615559724223,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,175473200000000.0,0.8203376174650026,0.1435842610453901,0.7010228842086678,0.1779023396800416,0.15943339791211208,0.4303740996470582,0.4315316777579397,,,,,,,,,,,,,,,,,,,
201710,2017-10-01,44807800000000.0,97812900000000.0,27956300000000.0,0.26268371468603624,0.5734237323906506,0.16389255292331323,0.2432160462417595,0.5999364904826427,0.1568474632755974,,,,,,,,0.0,,,0.0,,,0.0,,,,-,-,-,202210,0.4805479311485996,1.0,2.080957871590067,170577000000000.0,0.8274605056656191,0.1411358866031994,0.7346311448177348,0.2242923617633159,0.1606469691359132,0.3801180170305697,0.3986245864751003,,,,,,,,,,,,,,,,,,,
