플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
73480,디오케이디비제일차,KRZF0158P1G1,디오케이디비제일차 20260123-90-1,N,20260123,20260423,회사채,KRW,,5000000000,5000000000,42,,A1,A1,,다올투자증권(주),차환발행위험(유동성 공여형 매입약정),공공기관,한국산업은행
73480,디오케이디비제일차,KRZF0158P2G1,디오케이디비제일차 20260123-90-2,N,20260123,20260423,회사채,KRW,,5000000000,5000000000,42,,A1,A1,,다올투자증권(주),차환발행위험(유동성 공여형 매입약정),공공기관,한국산업은행
73480,디오케이디비제일차,KRZF0158P3G1,디오케이디비제일차 20260123-90-3,N,20260123,20260423,회사채,KRW,,5000000000,5000000000,42,,A1,A1,,다올투자증권(주),차환발행위험(유동성 공여형 매입약정),공공기관,한국산업은행
73480,디오케이디비제일차,KRZF0158P4G1,디오케이디비제일차 20260123-90-4,N,20260123,20260423,회사채,KRW,,5000000000,5000000000,42,,A1,A1,,다올투자증권(주),차환발행위험(유동성 공여형 매입약정),공공기관,한국산업은행
55867,리치게이트원당,KRZFA15901G1,리치게이트원당 20260123-59-1,Y,20260123,20260323,PF대출채권,KRW,,132000000,132000000,11,,A1,A1,,원당1구역주택재개발정비사업조합,외부 신용보강,금융기관,신한은행
55867,리치게이트원당,KRZFA15901G1,리치게이트원당 20260123-59-1,Y,20260123,20260323,PF대출채권,KRW,,132000000,132000000,11,,A1,A1,,원당1구역주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,신한은행
55867,리치게이트원당,KRZFA15902G1,리치게이트원당 20260123-59-2,Y,20260123,20260323,PF대출채권,KRW,,158590,158590,11,,A1,A1,,원당1구역주택재개발정비사업조합,외부 신용보강,금융기관,신한은행
55867,리치게이트원당,KRZFA15902G1,리치게이트원당 20260123-59-2,Y,20260123,20260323,PF대출채권,KRW,,158590,158590,11,,A1,A1,,원당1구역주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,신한은행
55867,리치게이트원당,KRZFA15903G1,리치게이트원당 20260123-59-3,Y,20260123,20260323,PF대출채권,KRW,,124229075,124229075,11,,A1,A1,,원당1구역주택재개발정비사업조합,외부 신용보강,금융기관,신한은행
55867,리치게이트원당,KRZFA15903G1,리치게이트원당 20260123-59-3,Y,20260123,20260323,PF대출채권,KRW,,124229075,124229075,11,,A1,A1,,원당1구역주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,신한은행
55867,리치게이트원당,KRZFA15904G1,리치게이트원당 20260123-59-4,Y,20260123,20260323,PF대출채권,KRW,,343612335,343612335,11,,A1,A1,,원당1구역주택재개발정비사업조합,외부 신용보강,금융기관,신한은행
55867,리치게이트원당,KRZFA15904G1,리치게이트원당 20260123-59-4,Y,20260123,20260323,PF대출채권,KRW,,343612335,343612335,11,,A1,A1,,원당1구역주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,신한은행
61254,에스피에스제일차,KRZFA54961G1,에스피에스제일차 20260123-59-1,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA5496AG1,에스피에스제일차 20260123-59-10,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA5496BG1,에스피에스제일차 20260123-59-11,Y,20260123,20260323,PF대출채권,KRW,,4300000000,4300000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54962G1,에스피에스제일차 20260123-59-2,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54963G1,에스피에스제일차 20260123-59-3,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54964G1,에스피에스제일차 20260123-59-4,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54965G1,에스피에스제일차 20260123-59-5,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54966G1,에스피에스제일차 20260123-59-6,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54967G1,에스피에스제일차 20260123-59-7,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54968G1,에스피에스제일차 20260123-59-8,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
61254,에스피에스제일차,KRZFA54969G1,에스피에스제일차 20260123-59-9,Y,20260123,20260323,PF대출채권,KRW,,5000000000,5000000000,11,,A1,A1,,신한은행,외부 신용보강,금융기관,중소기업은행
68633,에이치세븐제사차,KRZF0013D1G1,에이치세븐제사차 20260123-90-1,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,외부 신용보강,금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D1G1,에이치세븐제사차 20260123-90-1,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,차환발행위험(유동성 공여형 매입약정),금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D1G1,에이치세븐제사차 20260123-90-1,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,금리변동/환율변동,금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D2G1,에이치세븐제사차 20260123-90-2,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,외부 신용보강,금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D2G1,에이치세븐제사차 20260123-90-2,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,차환발행위험(유동성 공여형 매입약정),금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D2G1,에이치세븐제사차 20260123-90-2,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,금리변동/환율변동,금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D3G1,에이치세븐제사차 20260123-90-3,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,외부 신용보강,금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D3G1,에이치세븐제사차 20260123-90-3,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,차환발행위험(유동성 공여형 매입약정),금융기관,하나은행
68633,에이치세븐제사차,KRZF0013D3G1,에이치세븐제사차 20260123-90-3,N,20260123,20260423,대출채권,KRW,,5000000000,5000000000,42,,A1,A1,,코리아세븐,금리변동/환율변동,금융기관,하나은행
