YYYYMM,cp_rollover_ultra,cp_rollover_short,cp_rollover_main,cp_rollover_mid,cp_rollover_long,cp_rollover_ultra_long,abcp_rollover_ultra,abcp_rollover_short,abcp_rollover_main,abcp_rollover_mid,abcp_rollover_long,abcp_rollover_ultra_long,abstb_rollover_ultra,abstb_rollover_short,abstb_rollover_main,abstb_rollover_mid,abstb_rollover_long,abstb_rollover_ultra_long
201601,,,,,,,,,,,,,,,,,,
201602,0.18347825375713298,0.43507276176705634,0.365793871155625,0.12671474757502213,0.06862876334149738,0.0,0.000895513412475041,0.007437428236618686,0.02330535627873955,0.04280953736122926,0.04200716294650949,0.0,0.014799381116186193,0.301380357471652,0.023141268298135814,2.367996117468403,9.498567590098832e-05,0.0
201603,0.14171042190802843,0.29562602325350784,0.2878973417175585,0.0802042898222244,0.08603125951229253,0.02341066040361231,0.005248636620587468,0.02120031871913657,0.03017335953177885,0.03477587932858318,0.05958531015296097,0.0,0.06075439839940846,0.47245003166868915,0.0524737146578182,0.7091567887917231,3.526115329523362e-05,0.0
201604,0.07412589575268037,0.22931381866530684,0.2374714337287467,0.04237759592999435,0.02709855830513622,0.0,0.0030441139028253403,0.012995253751007485,0.03244584072187405,0.04492452650605852,0.06559442689028909,0.0,0.06108688879547361,0.37092282450025316,0.007519607921269117,0.7120985822975464,0.012938966322817332,0.0
201605,0.0862911511136674,0.19516281538640431,0.14268644926797167,0.04237837722176888,0.02135921635000692,0.0,0.003058802535407695,0.0159755317984243,0.02840448414453713,0.040118702066112344,0.08418103848757295,0.0,0.04077124554184807,0.2972501034597863,0.004868430816738559,0.6312303260761117,0.01085563927179404,0.0
201606,0.07471281918793228,0.1756166620630875,0.13187265153672378,0.03594787229357074,0.04408333245230983,0.019011947129749865,0.00721429701298561,0.0178757737143115,0.031708330187572346,0.03461198963366235,0.09310768229458137,0.0,0.04966569016466629,0.36360407669020467,0.030847286690486468,0.5767163600796686,0.010524519628226137,0.0
201607,0.0792454821481149,0.13688368783274207,0.20038804949925215,0.046027436427011605,0.08119025789842732,0.017324499122319044,0.004012714515961616,0.008201614702202018,0.022108359768050628,0.03431283931872309,0.07016647146191103,0.0,0.0568412889975101,0.25954449060742135,5.725928175431662e-06,0.6541027411703436,0.028817833049857414,0.0
201608,0.09612405705306055,0.15871378259096783,0.14554383112378433,0.03994801133015483,0.03456201923760796,0.0,0.011698688757930497,0.01670749146152338,0.025682875363029878,0.03005739093397176,0.07667893460108617,0.0,0.05925166602188901,0.24796324538685172,0.002541365650557466,0.452283498786712,0.02222913847163618,0.0
201609,0.05859300874598478,0.15278391737255356,0.12767115458861672,0.05771294477984001,0.04265422525913405,0.010313249603259456,0.004490274284958957,0.012859905175512198,0.031223047451765972,0.027605229588037034,0.07331744652608163,0.0,0.04831299411594298,0.30259488859304595,0.004724635346762307,0.5153301545555233,0.0331146738979743,0.0
201610,0.07760380138228018,0.11121970657950893,0.20192809496636038,0.03708660700828389,0.03600006213178881,0.009948382445003233,0.0031711522189955305,0.010352377710724104,0.032690178334151866,0.031229895664596736,0.07901736109716684,0.0,0.07163689465013842,0.31224738561863913,0.022140079307421692,0.6032991120468302,0.036283376516815034,0.0
201611,0.06270668587703176,0.12286970886447011,0.11420583890112762,0.030607201824235146,0.04549738308419198,0.0073997465879081376,0.00328377032333749,0.01093336150522115,0.03609595260485813,0.030286275796387267,0.07302622751171814,0.0,0.03503290365960872,0.2022116331130788,0.006810190679724275,0.411740830605734,0.025079166359803815,0.0
201612,0.06459103533354514,0.0987357663439101,0.12191970553589099,0.031913448794129495,0.04608809197370518,0.0021395856868011275,0.004874384721555339,0.005418720758392378,0.02278140560696564,0.021236130682332776,0.04454690697694164,0.0,0.03279711419898286,0.24552460205631885,0.007415643926351783,0.4297699288064546,0.027442612401058112,0.0
201701,0.038926839710878965,0.08065674909233017,0.1610214490353097,0.034901980918590085,0.02409465698462768,0.0,0.00259130915108631,0.01133134194656961,0.03260075943644125,0.028120604430582997,0.05775533744629337,0.0,0.042167459030420885,0.2772210072098816,0.016008025875593565,0.5200838400620428,0.021781113040523138,0.0
201702,0.055345691757113034,0.0873178576301496,0.13987750985704014,0.03740966748443695,0.03276531381740618,0.0,0.0025933334485718413,0.012917892840021164,0.02635297378498699,0.029872824531514085,0.055903326642123254,0.0,0.06650676291517138,0.15732485438411473,0.013120399536956234,0.46287030826629766,0.018782561147938564,0.0
201703,0.03226737495134469,0.0808955163987883,0.11172287804986704,0.03615671241254579,0.05316695259962813,0.011907802290661022,0.0027324662483113604,0.009868470443558762,0.02202762246614311,0.02593135442538726,0.043014449364111744,0.0,0.04544669362502543,0.2434477322608215,0.02394757261176728,0.38059519240552114,0.016159245898152565,0.0
201704,0.0776147843027572,0.09129621801865145,0.13903499742161743,0.033263324237051854,0.056346546043102484,0.009478427950441359,0.0015728506783036476,0.016016191502401106,0.033534180797178494,0.030835809916318967,0.04415823087187038,0.0,0.03283350192529019,0.2549459065482297,0.013790407537989678,0.48532008563839596,0.007354536416127087,0.0
201705,0.08272227613375303,0.0888012797349549,0.12556903895795923,0.02122140520296468,0.029971601046926803,0.00859473230376174,0.002445413581851683,0.014232710006655033,0.03840965675333509,0.0258412848815637,0.04127101952015052,0.0,0.0875295720663722,0.23209545896900774,0.02167473599810777,0.5495207445641217,0.009470871062802862,0.0
