플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
68386,남산제삼차,KRZS41906028,남산제삼차 20260116-90-1(단),N,20260116,20260416,수익증권,KRW,,22700000000,22700000000,35,N,A2,A2,,,유나이티드파트너스자산운용,외부 신용보강,금융기관,SK증권
67337,뉴스타엘카드제일차,KRZS49383023,뉴스타엘카드제일차 20260116-76-1(단),N,20260116,20260402,대출채권,KRW,,79500000000,79500000000,21,N,,A1,A1,,한국리테일카드홀딩스(주),외부 신용보강,금융기관,케이비증권
67337,뉴스타엘카드제일차,KRZS49383024,뉴스타엘카드제일차 20260116-76-2(단),N,20260116,20260402,대출채권,KRW,,37000000000,37000000000,21,N,,A1,A1,,한국리테일카드홀딩스(주),외부 신용보강,금융기관,케이비증권
63495,더모스트팔용제일차,KRZS46412011,더모스트팔용제일차 20260116-90-1(단),Y,20260116,20260416,PF대출채권,KRW,,2000000000,2000000000,35,N,A1,,A1,,(주)아트리움시티,외부 신용보강,금융기관,한화투자증권
73426,더에이치온제이차,KRZS48960007,더에이치온제이차 20260116-83-1(단),N,20260116,20260409,대출채권,KRW,,70000000000,70000000000,28,N,A1,A1,,,한온시스템,자체 신용보강,자체 신용보강,한온시스템
73416,디알제십팔차,KRZS0016F018,디알제십팔차 20260116-84-5(단),N,20260116,20260410,매출채권,KRW,,32300000000,32300000000,29,N,,A2+,A2+,,SK인천석유화학,자체 신용보강,자체 신용보강,SK인천석유화학
70957,디에스상주,KRZS0084S003,디에스상주 20260116-61-1(단),Y,20260116,20260318,PF대출채권,KRW,,49500000000,49500000000,6,N,A1,,A1,,(주)고은건설,외부 신용보강,금융기관,대신증권
73391,디이에프베타제일차,KRZS0022L033,디이에프베타제일차 20260116-90-7(단),N,20260116,20260416,매출채권,KRW,,21980000000,21980000000,35,N,A2+,A2+,,,삼척블루파워,자체 신용보강,자체 신용보강,삼척블루파워
73403,라호야제일차,KRZS48847015,라호야제일차 20260116-89-2(단),,20260116,20260415,,KRW,,230300000000,230300000000,34,N,,A1,A1,,,,,
72001,마우나제일차,KRZS44394035,마우나제일차 20260116-90-1(단),Y,20260116,20260416,PF대출채권,KRW,,15000000000,15000000000,35,N,A2+,A2+,,,㈜나무산업개발,외부 신용보강,금융기관,유진투자증권
61348,마인드유틸리티,KRZS45527014,마인드유틸리티 20260116-63-1(단),N,20260116,20260320,수익증권,KRW,,1500000000,1500000000,8,N,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
