플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
73276,그레이문제일차,KRZS43742034,그레이문제일차 20260102-90-1(단),N,20260102,20260402,수익증권,KRW,,200000000,200000000,21,N,A2-,,A2-,,베스타스자산운용 주식회사,외부 신용보강,금융기관,다올투자증권(주)
73276,그레이문제일차,KRZS43742035,그레이문제일차 20260102-90-2(단),N,20260102,20260402,수익증권,KRW,,13500000000,13500000000,21,N,A2-,,A2-,,베스타스자산운용 주식회사,외부 신용보강,금융기관,다올투자증권(주)
69113,글로리예천제이차,KRZS0022D005,글로리예천제이차 20260102-5-1(단),Y,20260102,20260107,PF대출채권,KRW,,2000000000,2000000000,0,N,A1,A1,,,자온개발 주식회사,외부 신용보강,금융기관,한국투자증권
69110,글로리예천제일차,KRZS0022C005,글로리예천제일차 20260102-5-1(단),Y,20260102,20260107,PF대출채권,KRW,,37000000000,37000000000,0,N,A1,A1,,,자온개발 주식회사,외부 신용보강,금융기관,한국투자증권
67088,다올마린제일차,KRZS49093008,다올마린제일차 20260102-90-1(단),Y,20260102,20260402,PF대출채권,KRW,,4000000000,4000000000,21,N,A2-,,A2-,,(주)엠피엘디엔씨,외부 신용보강,금융기관,다올투자증권(주)
70754,디에이지축제일차,KRZS44359039,디에이지축제일차 20260102-56-1(단),Y,20260102,20260227,PF대출채권,KRW,,11850000000,11850000000,0,N,A2-,A2-,,,(주)성수개발,차환발행위험(유동성 공여형 매입약정),금융기관,다올투자증권(주)
73261,디이에프베타제일차,KRZS0022L027,디이에프베타제일차 20260102-90-1(단),N,20260102,20260402,매출채권,KRW,,19180000000,19180000000,21,N,A2+,A2+,,,삼척블루파워,자체 신용보강,자체 신용보강,삼척블루파워
73271,디케이제이차,KRZS39352024,디케이제이차 20260102-90-1(단),Y,20260102,20260402,PF대출채권,KRW,,4000000000,4000000000,21,N,A1,,A1,,(주)티에프디엔씨,외부 신용보강,금융기관,디비증권(주)
73272,디케이제일차,KRZS39353023,디케이제일차 20260102-90-1(단),Y,20260102,20260402,PF대출채권,KRW,,4000000000,4000000000,21,N,A1,,A1,,(주)티에프디엔씨,외부 신용보강,금융기관,디비증권(주)
72837,메리골드부창,KRZS44287030,메리골드부창 20260102-31-1(단),Y,20260102,20260202,PF대출채권,KRW,,43000000000,43000000000,0,N,A1,A1,,,부창구역주택재개발정비사업조합,외부 신용보강,금융기관,NH투자증권
68998,부금일물류세컨드,KRZS42093059,부금일물류세컨드 20260102-56-1(단),N,20260102,20260227,주식,KRW,,18000000000,18000000000,0,N,A2-,A2-,,,(주)케이비이천로지스틱스제5호위탁관리부동산투자회사,외부 신용보강,금융기관,다올투자증권(주)
68998,부금일물류세컨드,KRZS42093060,부금일물류세컨드 20260102-56-2(단),N,20260102,20260227,주식,KRW,,200000000,200000000,0,N,A2-,A2-,,,(주)케이비이천로지스틱스제5호위탁관리부동산투자회사,외부 신용보강,금융기관,다올투자증권(주)
70438,스마트연동제일차,KRZS0065J002,스마트연동제일차 20260102-83-1(단),Y,20260102,20260326,PF대출채권,KRW,,24860000000,24860000000,14,N,A1,,A1,,(주)아일랜드원,외부 신용보강,금융기관,메리츠증권
70156,에이치색달제일차,KRZS35765024,에이치색달제일차 20260102-90-1(단),N,20260102,20260402,수익증권,KRW,,45400000000,45400000000,21,N,,A1,A1,,블루코브자산운용 주식회사,외부 신용보강,금융기관,한국투자증권
70595,에이치엠에스오피스,KRZS0075G004,에이치엠에스오피스 20260102-90-1(단),N,20260102,20260402,수익증권,KRW,,30400000000,30400000000,21,N,A1,,A1,,코람코자산운용,차환발행위험(유동성 공여형 매입약정),금융기관,현대차증권
73267,에이치와이스튜디오제일차,KRZS49195010,에이치와이스튜디오제일차 20260102-90-1(단),N,20260102,20260402,대출채권,KRW,,6600000000,6600000000,21,N,,A3,A3,,스튜디오아예중앙(주),외부 신용보강,일반기업,제이티비씨
73266,에이치와이중앙제이차,KRZS46752016,에이치와이중앙제이차 20260102-90-1(단),N,20260102,20260402,대출채권,KRW,,20000000000,20000000000,21,N,A3,A3,,,제이티비씨,외부 신용보강,일반기업,중앙일보
50043,에이케이비제이차,KRZS27507028,에이케이비제이차 20260102-90-1(단),N,20260102,20260402,수익증권,KRW,,26300000000,26300000000,21,N,A1,,A1,,멀티에셋자산운용,외부 신용보강,일반기업,호텔롯데
50042,에이케이비제일차,KRZS27506023,에이케이비제일차 20260102-90-1(단),N,20260102,20260402,수익증권,KRW,,26300000000,26300000000,21,N,A1,,A1,,멀티에셋자산운용,외부 신용보강,일반기업,호텔롯데
71605,엔케이레드제일차,KRZS0098W003,엔케이레드제일차 20260102-66-1(단),Y,20260102,20260309,PF대출채권,KRW,,26000000000,26000000000,0,N,A1,,A1,,디에스디삼호,외부 신용보강,금융기관,대신증권
70271,엠에이동탄제일차,KRZS43308046,엠에이동탄제일차 20260102-31-1(단),Y,20260102,20260202,PF대출채권,KRW,,5000000000,5000000000,0,N,A1,,A1,,에프엔동탄제일차(주),외부 신용보강,금융기관,미래에셋증권(주)
54388,와이알디제일차,KRZS38453052,와이알디제일차 20260102-31-1(단),Y,20260102,20260202,PF대출채권,KRW,,27170000000,27170000000,0,N,A1,,A1,,마스턴제51호여의도피에프브이 주식회사,외부 신용보강,금융기관,NH투자증권
70769,와이제이프레쉬제일차,KRZS47772014,와이제이프레쉬제일차 20260102-90-1(단),N,20260102,20260402,대출채권,KRW,,1900000000,1900000000,21,N,,A1,A1,,국민은행,외부 신용보강,금융기관,현대차증권
63401,우드로즈제일차,KRZS46245010,우드로즈제일차 20260102-87-1(단),N,20260102,20260330,하이브리드증권,KRW,,50200000000,50200000000,18,N,A1,,A1,,신세계프라퍼티,외부 신용보강,금융기관,NH투자증권
72346,제이온스크린,KRZS0126C002,제이온스크린 20260102-60-1(단),Y,20260102,20260303,PF대출채권,KRW,,25000000000,25000000000,0,N,A1,A1,,,용인신대피에프브이(주),외부 신용보강,일반기업,대우건설
