분기,발행성공률(%),성공률_QoQ(%)
2010/Q1,51.43341395730047,
2010/Q2,56.41716893126994,9.689722284635693
2010/Q3,50.794581301398836,-9.966093188264747
2010/Q4,66.3607661799062,30.645365075740227
2011/Q1,81.19801705559783,22.358468308619827
2011/Q2,97.77187203673203,20.411649917245846
2011/Q3,66.48553151882,-31.999326458797917
2011/Q4,70.16778544801001,5.538428956001762
2012/Q1,67.99512181753406,-3.096383356840815
2012/Q2,63.20514750150512,-7.04458524081023
2012/Q3,70.63545032131499,11.755850770909015
2012/Q4,75.19180942184154,6.450527433179842
2013/Q1,66.69672555596505,-11.297884611630138
2013/Q2,46.086199642571785,-30.901855738178664
2013/Q3,36.66276220730455,-20.44741703232653
2013/Q4,45.889963842470436,25.167775365620138
2014/Q1,40.53404150313741,-11.671228065724048
2014/Q2,45.77786750469445,12.936844704101746
2014/Q3,46.76942212492848,2.1660131287949413
2014/Q4,50.5109969315062,8.000044979352916
2015/Q1,47.839944297201384,-5.2880616035490435
2015/Q2,52.718915595631934,10.198530475120071
2015/Q3,56.75179202654757,7.649771216557011
2015/Q4,53.51259205704524,-5.707661121937935
2016/Q1,56.35975633719788,5.32055011859176
2016/Q2,63.24301200185247,12.213068529736692
2016/Q3,65.89700410572235,4.196498585159314
2016/Q4,59.337755324835676,-9.953789052933715
2017/Q1,51.85276970126095,-12.61420419865783
2017/Q2,64.38305929725324,24.165130750359086
2017/Q3,54.18228070681157,-15.843886111943217
2017/Q4,63.03444244465981,16.337742934352683
2018/Q1,47.51963293588863,-24.613225574878662
2018/Q2,56.17195770490578,18.20789478885596
2018/Q3,50.95361575839038,-9.289941386642575
2018/Q4,64.84819498383425,27.269074075780164
2019/Q1,43.682656955980434,-32.63859238199319
2019/Q2,70.7134911213638,61.88001382933892
2019/Q3,67.66531834452043,-4.3105957979247105
2019/Q4,88.13180674222144,30.246644659964716
2020/Q1,53.41250498194423,-39.3947463959617
2020/Q2,50.63874405974202,-5.193092746988492
2020/Q3,72.53645648627563,43.243000657163556
2020/Q4,92.63822257862074,27.712638673145683
2021/Q1,60.40912115251099,-34.79028475396036
2021/Q2,58.03677737294189,-3.927128444030492
2021/Q3,61.33188125296019,5.677613453352337
2021/Q4,77.8519178924179,26.93548005045152
2022/Q1,48.3980628077423,-37.83317852923974
2022/Q2,58.01126523348746,19.862783483572244
2022/Q3,61.35864329442942,5.770220745003951
2022/Q4,37.16885192006533,-39.423608599507965
2023/Q1,26.849813530572774,-27.762596519484905
2023/Q2,30.989829070600205,15.419159374471514
2023/Q3,26.977951065766415,-12.945789393333007
2023/Q4,32.25267624595616,19.551985869242273
2024/Q1,25.472025149976314,-21.0235300918013
2024/Q2,28.17607683115059,10.615770301941563
2024/Q3,32.66320539782685,15.925313497567672
2024/Q4,31.81415298989855,-2.599415451077536
2025/Q1,26.917794155119655,-15.390505088516926
2025/Q2,32.30996996424793,20.032012200014183
2025/Q3,31.611821261309334,-2.160784128586679
