YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
201601,,2329299999999.9995,,5015400000000.0,,4663086002641.0,,1172976036020.9988,,501136474040.9997,,0.0,
201602,10536398512703.0,1933199999999.9995,0.18347825375713298,4584099999999.999,0.43507276176705634,3854150000000.0,0.365793871155625,1335117077886.9993,0.12671474757502213,723099999999.9991,0.06862876334149738,0.0,0.0
201603,15804765590590.0,2239699999999.999,0.14171042190802843,4672300000000.0,0.29562602325350784,4550149999999.999,0.2878973417175585,1267610000000.0,0.0802042898222244,1359703890054.9995,0.08603125951229253,369999999999.99963,0.02341066040361231
201604,21827729480645.0,1617999999999.9993,0.07412589575268037,5005400000000.0,0.22931381866530684,5183462214812.0,0.2374714337287467,925006699999.9993,0.04237759592999435,591499999999.9993,0.02709855830513622,0.0,0.0
201605,24113712392816.0,2080800000000.0,0.0862911511136674,4706099999999.999,0.19516281538640431,3440700000000.0,0.14268644926797167,1021899999999.9996,0.04237837722176888,515050000000.0,0.02135921635000692,0.0,0.0
201606,24195312392816.0,1807699999999.999,0.07471281918793228,4249100000000.0,0.1756166620630875,3190699999999.999,0.13187265153672378,869769999999.9991,0.03594787229357074,1066609999999.9998,0.04408333245230983,459999999999.99945,0.019011947129749865
201607,24820342392816.0,1966899999999.9998,0.0792454821481149,3397499999999.9995,0.13688368783274207,4973699999999.999,0.20038804949925215,1142416731581.9995,0.046027436427011605,2015169999999.9998,0.08119025789842732,429999999999.99896,0.017324499122319044
201608,27729790873565.0,2665500000000.0,0.09612405705306055,4401099999999.999,0.15871378259096783,4035900000000.0,0.14554383112378433,1107749999999.9988,0.03994801133015483,958397565626.9991,0.03456201923760796,0.0,0.0
201609,29088794661305.0,1704399999999.9993,0.05859300874598478,4444300000000.0,0.15278391737255356,3713799999999.9995,0.12767115458861672,1678800000000.0002,0.05771294477984001,1240759999999.9995,0.04265422525913405,299999999999.9996,0.010313249603259456
201610,31160844661305.0,2418199999999.999,0.07760380138228018,3465699999999.9995,0.11121970657950893,6292250000000.0,0.20192809496636038,1155649999999.9995,0.03708660700828389,1121792343885.9995,0.03600006213178881,309999999999.9994,0.009948382445003233
201611,32433543115136.0,2033799999999.9995,0.06270668587703176,3985099999999.9995,0.12286970886447011,3704099999999.999,0.11420583890112762,992699999999.9999,0.030607201824235146,1475641335887.0,0.04549738308419198,239999999999.99908,0.0073997465879081376
201612,32716614451023.0,2113200000000.0,0.06459103533354514,3230299999999.9995,0.0987357663439101,3988800000000.0,0.12191970553589099,1044099999999.9995,0.031913448794129495,1507846335887.0,0.04608809197370518,69999999999.99974,0.0021395856868011275
201701,33213587581287.0,1292899999999.9993,0.038926839710878965,2678899999999.999,0.08065674909233017,5348100000000.0,0.1610214490353097,1159219999999.9995,0.034901980918590085,800270000000.0,0.02409465698462768,0.0,0.0
201702,34924127581287.0,1932900000000.0,0.055345691757113034,3049499999999.999,0.0873178576301496,4885100000000.0,0.13987750985704014,1306500000000.0,0.03740966748443695,1144299999999.9993,0.03276531381740618,0.0,0.0
201703,36110777581287.0,1165199999999.9995,0.03226737495134469,2921199999999.999,0.0808955163987883,4034400000000.0,0.11172287804986704,1305647000000.0,0.03615671241254579,1919900000000.0,0.05316695259962813,430000000000.0,0.011907802290661022
201704,36925954581287.0,2865999999999.9995,0.0776147843027572,3371199999999.9995,0.09129621801865145,5134000000000.0,0.13903499742161743,1228279999999.9998,0.033263324237051854,2080649999999.999,0.056346546043102484,349999999999.99884,0.009478427950441359
201705,39559114581287.0,3272419999999.999,0.08272227613375303,3512900000000.0,0.0888012797349549,4967400000000.0,0.12556903895795923,839499999999.9999,0.02122140520296468,1185649999999.9988,0.029971601046926803,339999999999.99945,0.00859473230376174
201706,39838114581287.0,2759499999999.9995,0.06926783631713858,2977999999999.9995,0.0747525336301644,3667000000000.0,0.09204752881860744,285999999999.99994,0.007179054606523513,1704000000000.0,0.042773108564741494,169999999999.99988,0.0042672702206608265
201707,37997429581287.0,3359700000000.0,0.08841913879497226,2780600000000.0,0.07317863420344074,6738300000000.0,0.17733567965656505,929999999999.9994,0.02447533978608928,1092399999999.9996,0.02874931309927305,969999999999.9987,0.025528042572587725
201708,40412687237401.0,1351899999999.9995,0.03345236588842446,3766188876799.9995,0.09319323049902209,5478199999999.999,0.13555643968486344,1521999999999.9988,0.03766144010813078,1398679999999.9993,0.03460992316060471,566894224599.999,0.014027630018014532
201709,42504353896374.0,1900799999999.9995,0.04472012454616219,3682400000000.0,0.08663583050756929,4133599999999.999,0.09725121360691079,1646000000000.0,0.038725444551232634,1175299999999.9998,0.02765128492166689,399999999999.9993,0.009410800619983613
