YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
201601,,21600000000,,1005900000000,,0,,8730731000000,,470000000,,0,
201602,3844978000000.0,96600000000,0.025123680811697753,1967200000000,0.5116284150390458,151050000000,0.03928501021332242,15456621000000,4.019950439248287,620000000,0.00016124929713512014,0,0.0
201603,6745948000000.0,1068250000000,0.1583543187703196,8307131000000,1.2314252941172983,922650000000,0.13677099200883255,12469167000000,1.8483935838224665,620000000,9.190702329754098e-05,0,0.0
201604,9341816500000.0,1230900000000,0.1317623826158435,7474090000000,0.8000681666140627,151520000000,0.016219543597329276,14348777000000,1.5359729020581812,260720000000,0.02790891899878359,0,0.0
201605,10111283500000.0,979579000000,0.096879787813288,7141797000000,0.7063195290686884,116970000000,0.011568264305911312,15166080000000,1.499916405271398,260820000000,0.025794944825748383,0,0.0
201606,10682528000000.0,1236390000000,0.11573945792606394,9051650000000,0.8473322045118908,767920000000,0.07188560610372376,14356920000000,1.3439627773500804,262000000000,0.024526029793696773,0,0.0
201607,11883645000000.0,1489050000000,0.12530246401672215,6799190000000,0.5721468455175159,150000000,1.2622389847559398e-05,17135285000000,1.4419216494602456,754930000000,0.06352680511745344,0,0.0
201608,12490670000000.0,2010210000000,0.16093692331956572,8412560000000,0.6735075060024802,86220000000,0.006902752214252718,15344459880000,1.2284737231869867,754160000000,0.06037786603921167,0,0.0
201609,12939617440000.0,1430175000000,0.11052683795572862,8957500000000,0.6922538507444468,139860000000,0.010808665762223647,15254949880000,1.1789336084112236,980270000000,0.07575726288241795,0,0.0
201610,13226764940000.0,1895200000000,0.14328522572202,8260704880000,0.6245446197518952,585730000000,0.044283693152257685,15960665000000,1.2066945373567666,959900000000,0.072572545467796,0,0.0
201611,14139699940000.0,1341450000000,0.09487117871611637,7742915000000,0.5476010829689502,260770000000,0.01844239984628698,15766027920000,1.1150185638239223,960310000000,0.0679158683759169,0,0.0
201612,13377911460000.0,1151050000000,0.0860410837253366,8616950000000,0.6441177328587283,260260000000,0.01945445675718353,15083237920000,1.127473295446672,963128000000,0.07199389851545632,0,0.0
201701,13497412960000.0,1298370000000,0.09619398945914744,8535857920000,0.632406961637484,492900000000,0.03651810917104814,16013800000000,1.1864347669777453,670658000000,0.049687892189971196,0,0.0
201702,14149692960000.0,2550700000000,0.18026539566693184,6033800000000,0.4264262141275467,503200000000,0.03556260912674956,17752229150000,1.2546017217606114,720358000000,0.05090979726813804,0,0.0
201703,14554568575000.0,1785050000000,0.12264533921439166,9562112000000,0.6569835409910115,940610000000,0.06462644324721938,14948974150000,1.0270984037051747,634701000000,0.0436083692023829,0,0.0
201704,14699148575000.0,1127182000000,0.0766834891319547,8752354150000,0.595432729000768,473428000000,0.032207851875529464,16661155000000,1.1334775558590475,252483000000,0.017176709161877426,0,0.0
201705,14561376075000.0,2793138000000,0.1918182722301539,7406350000000,0.5086298136833197,691658000000,0.04749949430861053,17535642380000,1.204257227454377,302223000000,0.02075511259673307,0,0.0
201706,15492205690000.0,1476768100000,0.09532329543966957,8906320000000,0.5748903789567488,677261000000,0.043716241157136355,14654351380000,0.9459176874639081,354362000000,0.022873566688359662,0,0.0
201707,14044831240000.0,1036229825000,0.07378015494047332,10027063380000,0.7139326353343922,1288983000000,0.09177632525259165,14552714000000,1.0361615423725092,226179000000,0.016104073885618294,0,0.0
201708,14560784602500.0,1812776980000,0.1244972046141495,5576184000000,0.3829590336115955,1246388000000,0.08559895871174432,17994598520000,1.2358261598698763,196601000000,0.013502088339816852,0,0.0
201709,14402624250000.0,381600000000,0.02649517153097985,12363642220000,0.8584298253840789,316380000000,0.021966830107367413,16063606520000,1.1153249741969766,489105000000,0.03395943624648821,0,0.0
201710,15947966870000.0,1837228620000,0.11520143194277904,8829813520000,0.5536638991023939,851229000000,0.05337539304782867,16074608000000,1.0079408949762887,469569000000,0.029443815868674426,0,0.0
201711,15218274070000.0,1653052090000,0.10862283609799649,7446543000000,0.48931586891837336,146951000000,0.00965621983965229,21021973410000,1.3813638335927274,501887000000,0.032979232578638926,0,0.0
201712,16720353250000.0,918554570000,0.05493631362124481,11145305000000,0.6665711443626348,148811000000,0.008899991392227314,16520354410000,0.9880385996031513,499351300000,0.02986487740622346,0,0.0
201801,15994888140000.0,1807611380000,0.11301181753684962,11552588860000,0.722267561916191,149769000000,0.009363554073595416,13080473000000,0.817790839517556,884316300000,0.05528743260095097,0,0.0
201802,15149829270000.0,1502835160000,0.09919815815851765,6637476250000,0.43812218155775956,824737000000,0.05443869929499212,16867528200000,1.1133807450491486,915596300000,0.06043608041267385,0,0.0
201803,14987436455000.0,1944587240000,0.12974782217350192,11141194250000,0.7433689065806285,847151300000,0.05652409620174766,16012913900000,1.0684224715867194,625997000000,0.04176811704120083,0,0.0
