YYYYMM,cp_rollover_ultra,cp_rollover_short,cp_rollover_main,cp_rollover_mid,cp_rollover_long,cp_rollover_ultra_long,abcp_rollover_ultra,abcp_rollover_short,abcp_rollover_main,abcp_rollover_mid,abcp_rollover_long,abcp_rollover_ultra_long,abstb_rollover_ultra,abstb_rollover_short,abstb_rollover_main,abstb_rollover_mid,abstb_rollover_long,abstb_rollover_ultra_long
201601,,,,,,,,,,,,,,,,,,
201602,0.18347825375713298,0.43507276176705634,0.365793871155625,0.12671474757502213,0.06862876334149738,0.0,0.0014756507241259068,0.012255591273242515,0.038403183458396814,0.07054268973146526,0.06922051591518606,0.0,0.025123680811697753,0.5116284150390458,0.03928501021332242,4.019950439248287,0.00016124929713512014,0.0
201603,0.14171042190802843,0.29562602325350784,0.2878973417175585,0.0802042898222244,0.08603125951229253,0.02341066040361231,0.010960824000260522,0.0442730139324972,0.06301157943134444,0.0726231058328122,0.12443309468706172,0.0,0.1583543187703196,1.2314252941172983,0.13677099200883255,1.8483935838224665,9.190702329754098e-05,0.0
201604,0.07412589575268037,0.22931381866530684,0.2374714337287467,0.04237759592999435,0.02709855830513622,0.0,0.007606377763024856,0.032471455507885404,0.08107295891275612,0.11225365749716149,0.16390187949720758,0.0,0.1317623826158435,0.8000681666140627,0.016219543597329276,1.5359729020581812,0.02790891899878359,0.0
201605,0.0862911511136674,0.19516281538640431,0.14268644926797167,0.04237837722176888,0.02135921635000692,0.0,0.008864521092999669,0.04629767268717902,0.08231722902029803,0.11626545897361122,0.24395971386372747,0.0,0.096879787813288,0.7063195290686884,0.011568264305911312,1.499916405271398,0.025794944825748383,0.0
201606,0.07471281918793228,0.1756166620630875,0.13187265153672378,0.03594787229357074,0.04408333245230983,0.019011947129749865,0.022628095933765247,0.05606848758370161,0.09945517021165119,0.1085626805327319,0.29203809648258544,0.0,0.11573945792606394,0.8473322045118908,0.07188560610372376,1.3439627773500804,0.024526029793696773,0.0
201607,0.0792454821481149,0.13688368783274207,0.20038804949925215,0.046027436427011605,0.08119025789842732,0.017324499122319044,0.017557919771281103,0.03588675256199066,0.09673671165441182,0.15013828606210325,0.3070184214854078,0.0,0.12530246401672215,0.5721468455175159,1.2622389847559398e-05,1.4419216494602456,0.06352680511745344,0.0
201608,0.09612405705306055,0.15871378259096783,0.14554383112378433,0.03994801133015483,0.03456201923760796,0.0,0.04950733515119514,0.07070393925649583,0.10868660108441236,0.12719898422204642,0.32449531677292753,0.0,0.16093692331956572,0.6735075060024802,0.006902752214252718,1.2284737231869867,0.06037786603921167,0.0
201609,0.05859300874598478,0.15278391737255356,0.12767115458861672,0.05771294477984001,0.04265422525913405,0.010313249603259456,0.020135297048827872,0.05766641285056017,0.14001045266140186,0.12378742646481754,0.32877024230106694,0.0,0.11052683795572862,0.6922538507444468,0.010808665762223647,1.1789336084112236,0.07575726288241795,0.0
201610,0.07760380138228018,0.11121970657950893,0.20192809496636038,0.03708660700828389,0.03600006213178881,0.009948382445003233,0.0150793674844267,0.04922731457118262,0.15544735105407897,0.1485034589023688,0.3757409746830888,0.0,0.14328522572202,0.6245446197518952,0.044283693152257685,1.2066945373567666,0.072572545467796,0.0
