YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_d
201601,0.0,0.4225481306380477,0.0243103017033752,0.0175811099432141,0.535560457715363,0.535560457715363,0.2329277773517209,0.1324786132000427,0.057141740086284,0.0011653907517597,0.0144107458550935,0.0020049733363608,0.0,0.0243103017033752,0.0,0.0,0.0
201602,0.0,0.4742338028923885,0.018311909887538,0.0367280338963873,0.470726253323686,0.470726253323686,0.3166769392014816,0.0948944013196485,0.0626624623712583,0.0129076633109719,0.01935405110065,0.0044663194847653,0.0,0.018311909887538,0.0,0.0,0.0
201603,0.0,0.3501354791490873,0.0542459055404626,0.0149604497385275,0.5806581655719224,0.5806581655719224,0.1026746514736257,0.1347011485999488,0.1127596790755127,0.0091076020354776,0.0058528477030499,0.0,0.0,0.0542459055404626,0.0,0.0,0.0
201604,0.0,0.3044581382045989,0.0200593624870082,0.0152098462813579,0.660272653027035,0.660272653027035,0.1240594418427279,0.0839594536358696,0.0964392427260012,0.006172111534464,0.00771513941808,0.0013225953288137,0.0,0.0200593624870082,0.0,0.0,0.0
201605,0.0,0.3796273152854221,0.0129574481290675,0.032989662936606,0.5744255736489042,0.5744255736489042,0.2096903830727007,0.0984506908846555,0.0714862413280658,0.0108453840840295,0.0183866188951469,0.0037576599574296,0.0,0.0129574481290675,0.0,0.0,0.0
201606,0.0,0.2789005658852061,0.0305780590959214,0.0213186405759377,0.6692027344429347,0.6692027344429347,0.119120651465549,0.1065454246623513,0.0532344897573057,0.0028762486837101,0.0184423918922276,0.0,0.0,0.0305780590959214,0.0,0.0,0.0
201607,0.0,0.2830172259583541,0.0292014562050677,0.0268808106788371,0.6609005071577411,0.6609005071577411,0.1349165292812283,0.0666266999937149,0.0814739966834107,0.0043512103616822,0.0217560518084113,0.0007735485087435,0.0,0.0292014562050677,0.0,0.0,0.0
201608,0.0,0.3166248206469331,0.0159033171375163,0.0533897075330905,0.61408215468246,0.61408215468246,0.1565681572188482,0.118117344234006,0.0419393191940787,0.0092012049152773,0.0415190172411587,0.0026694853766545,0.0,0.0159033171375163,0.0,0.0,0.0
201609,0.0,0.2377031827056526,0.0372822483681249,0.0236742277137593,0.7013403412124631,0.7013403412124631,0.0522572847959884,0.1137374877001868,0.0717084102094774,0.0078736557863159,0.0134038559609211,0.0023967159665223,0.0,0.0372822483681249,0.0,0.0,0.0
201610,0.0,0.2819900805666213,0.0280842921638072,0.0234649632341318,0.6664606640354396,0.6664606640354396,0.0792882488876011,0.1341255149937892,0.0685763166852309,0.0032074410176151,0.0183391962490435,0.0019183259674731,0.0,0.0280842921638072,0.0,0.0,0.0
201611,0.0,0.354836105638257,0.0054376927246247,0.047339913132027,0.5923862885050912,0.5923862885050912,0.1168357585812506,0.1369978702327513,0.101002476824255,0.0081032283739505,0.0368910133866697,0.0023456713714067,0.0,0.0054376927246247,0.0,0.0,0.0
201612,0.0,0.2109010244110632,0.0490279426925013,0.012262040100207,0.7278089927962283,0.7278089927962283,0.084722306743475,0.1060418801740906,0.0201368374934974,0.0107153854132064,0.0,0.0015466546870005,0.0,0.0490279426925013,0.0,0.0,0.0
201701,0.0,0.2790992800995248,0.0294645718677092,0.0243987331957171,0.6670374148370488,0.6670374148370488,0.064020828523084,0.1151659837548547,0.0999124678215859,0.0062375292491875,0.0160073609737437,0.0021538429727857,0.0,0.0294645718677092,0.0,0.0,0.0
201702,0.0,0.3235109692320428,0.0078741869108444,0.0399614985725354,0.6286533452845774,0.6286533452845774,0.0603162717370682,0.1612731906677321,0.1019215068272424,0.0029528200915666,0.0370086784809687,0.0,0.0,0.0078741869108444,0.0,0.0,0.0
201703,0.0,0.2439709252730718,0.0590634855008825,0.0044152376046561,0.6925503516213894,0.6925503516213894,0.0526149147888189,0.1005628459692075,0.0907931645150452,0.0044152376046561,0.0,0.0,0.0,0.0590634855008825,0.0,0.0,0.0
201704,0.0,0.2857599428189538,0.0293667674839815,0.0075563612239484,0.6773169284731161,0.6773169284731161,0.0531356451848762,0.1292889112030525,0.1033353864310249,0.0058390064003238,0.0,0.0017173548236246,0.0,0.0293667674839815,0.0,0.0,0.0
201705,0.0,0.2845740635525861,0.008383925637177,0.0403800345688765,0.6666619762413601,0.6666619762413601,0.059152406245574,0.1536019015987214,0.0718197557082906,0.0037194142826749,0.0351362701703512,0.0015243501158503,0.0,0.008383925637177,0.0,0.0,0.0
201706,0.0,0.2798211668531529,0.0434021058991129,0.0208107533413695,0.6559659739063646,0.6559659739063646,0.039239955230839,0.1632698193963811,0.0773113922259327,0.0052305101980982,0.0044514980409346,0.0111287451023366,0.0,0.0434021058991129,0.0,0.0,0.0
201707,0.0,0.2279535902067047,0.0229247853751893,0.0114699836761295,0.7376516407419764,0.7376516407419764,0.0335066233927436,0.1142595594262748,0.0801874073876863,0.0090105033908442,0.0017003814318021,0.000759098853483,0.0,0.0229247853751893,0.0,0.0,0.0
201708,0.0,0.3058981789253586,0.0079846811790348,0.0396208285031265,0.6464963113924801,0.6464963113924801,0.0381919908184571,0.1969787227157665,0.0707274653911348,0.0046227101562833,0.0341576255911553,0.0008404927556878,0.0,0.0079846811790348,0.0,0.0,0.0
201709,0.0,0.1779023396800416,0.0554024209087197,0.0656723552025708,0.7010228842086678,0.7010228842086678,0.0217067041406028,0.1134769843049983,0.0427186512344404,0.0052106778507397,0.0497731074015958,0.0106885699502353,0.0,0.0554024209087197,0.0,0.0,0.0
201710,0.0,0.2242923617633159,0.0122314001229242,0.0288450932960249,0.7346311448177348,0.7346311448177348,0.0301357686464194,0.140608573928438,0.0535480191884584,0.0057029841063941,0.0226843696758281,0.0004577395138026,0.0,0.0122314001229242,0.0,0.0,0.0
201711,0.0,0.2257520780840696,0.0067225532687558,0.0554005614878166,0.7121248071593579,0.7121248071593579,0.0272733986113423,0.1448878293248597,0.0535908501478676,0.0050419149515668,0.0452831188183391,0.0050755277179106,0.0,0.0067225532687558,0.0,0.0,0.0
201712,0.0,0.1871523392449803,0.0566183811695551,0.1056689589154569,0.6505603206700076,0.6505603206700076,0.0149113756347541,0.1270830397142392,0.045157923895987,0.0229052183622576,0.0737384342479533,0.0090253063052459,0.0,0.0566183811695551,0.0,0.0,0.0
201801,0.0,0.228526796206699,0.0097992033900356,0.0359289922557262,0.7257450081475392,0.7257450081475392,0.0308973143411035,0.1314627042621472,0.0661667776034482,0.0110177130289704,0.0240847377234222,0.0008265415033334,0.0,0.0097992033900356,0.0,0.0,0.0
