YYYYMM,balance_total_amt,bal_share_top,bal_share_high_mid,bal_share_low,bal_share_distress,bal_amt_top,bal_amt_high_mid,bal_amt_low,bal_amt_distress
201601,3844978000000.0,0.5531703952532369,0.4216018921304621,0.025227712616301,0.0,2126928000000.0002,1621050000000.0,96999999999.99979,0.0
201602,6745948000000.0,0.5085716640567048,0.4679327501486818,0.0234955857946132,0.0,3430798000000.0,3156649999999.9995,158499999999.99933,0.0
201603,9341816500000.0,0.5379567239412164,0.4375833650768028,0.0244599109819808,0.0,5025493000000.0,4087823500000.0,228499999999.99945,0.0
201604,10111283500000.0,0.5810612470711557,0.3954501424077368,0.0234886105211074,0.0,5875275000000.0,3998508499999.9995,237499999999.99966,0.0
201605,10682528000000.0,0.597594455170162,0.376568963825791,0.0258365810040469,0.0,6383819500000.0,4022708499999.9995,275999999999.9991,0.0
201606,11883645000000.0,0.6529823130865993,0.3263169675634033,0.0207007193499974,0.0,7759810000000.0,3877834999999.9995,245999999999.99985,0.0
201607,12490670000000.0,0.6708443181991038,0.3026559023655256,0.0264997794353705,0.0,8379295000000.0,3780374999999.9995,330999999999.99927,0.0
201608,12939617440000.0,0.6677815229134008,0.3027740208059814,0.0294444562806178,0.0,8640837440000.0,3917780000000.0,380999999999.99963,0.0
201609,13226764940000.0,0.6894749004286758,0.2873901908171357,0.0231349087541885,0.0,9119522440000.0,3801242500000.0,305999999999.9995,0.0
201610,14139699940000.0,0.7104049224965377,0.2603865368871469,0.0292085406163152,0.0,10044912440000.0,3681787499999.999,412999999999.9996,0.0
201611,13377911460000.0,0.6941497548227905,0.2745673351914978,0.0312829099857116,0.0,9286273960000.0,3673137499999.9995,418499999999.99963,0.0
201612,13497412960000.0,0.6802628020058742,0.2952139800277697,0.0245232179663561,0.0,9181787960000.0,3984625000000.0,330999999999.99963,0.0
201701,14149692960000.0,0.6891964361041514,0.281544978485526,0.0292585854103225,0.0,9751917960000.0,3983774999999.999,413999999999.99896,0.0
201702,14554568575000.0,0.6849150851590942,0.2856439872179447,0.0294409276229611,0.0,9968643575000.0,4157424999999.9995,428499999999.9991,0.0
201703,14699148575000.0,0.6821839730264785,0.2929166256148275,0.024899401358694,0.0,10027523575000.0,4305625000000.0005,365999999999.99994,0.0
201704,14561376075000.0,0.6688771737529621,0.3008372270201118,0.030285599226926,0.0,9739772075000.0,4380603999999.9995,440999999999.9987,0.0
201705,15492205690000.0,0.6901452190827451,0.2804206248568082,0.0294341560604466,0.0,10691871690000.0,4344333999999.999,455999999999.9988,0.0
201706,14044831240000.0,0.6764087853860179,0.2989558171437309,0.0246353974702511,0.0,9500047240000.0,4198783999999.999,345999999999.9996,0.0
201707,14560784602500.0,0.6938605905045356,0.2785996847521184,0.0275397247433459,0.0,10103154602500.0,4056629999999.9995,400999999999.99927,0.0
201708,14402624250000.0,0.695043075222906,0.2779826738866703,0.0269742508904236,0.0,10010444250000.0,4003679999999.9995,388499999999.999,0.0
201709,15947966870000.0,0.712930178666718,0.2627093493579598,0.024360471975322,0.0,11369786870000.0,4189679999999.999,388499999999.99866,0.0
201710,15218274070000.0,0.6951195004993099,0.2781034814153534,0.0267770180853366,0.0,10578519070000.0,4232254999999.9995,407499999999.999,0.0
201711,16720353250000.0,0.7256239188606856,0.249855068103899,0.0245210130354153,0.0,12132688250000.0,4177664999999.9985,409999999999.9986,0.0
201712,15994888140000.0,0.7179933388393175,0.26268798901397,0.0193186721467124,0.0,11484223140000.0,4201664999999.999,308999999999.99854,0.0
201801,15149829270000.0,0.7034088688446322,0.2761288543550695,0.0204622768002982,0.0,10656524270000.0,4183304999999.999,309999999999.99963,0.0
201802,14987436455000.0,0.6948417420329273,0.2831398159879638,0.0220184419791089,0.0,10413896455000.0,4243540000000.0005,329999999999.9991,0.0
201803,16694796845000.0,0.7230844934549426,0.2555016490828103,0.0214138574622469,0.0,12071748720000.0,4265548124999.9985,357499999999.9992,0.0
201804,15837559645000.0,0.7047736059212801,0.2713906511699833,0.0238357429087364,0.0,11161894020000.0,4298165624999.9995,377499999999.99854,0.0
201805,17139212025000.0,0.7300887801462389,0.2478857031935224,0.0220255166602386,0.0,12513146400000.0,4248565625000.0,377499999999.9992,0.0
201806,15673113875000.0,0.6910999123331515,0.2841762195771706,0.0247238680896778,0.0,10831687625000.0,4453926249999.999,387499999999.99884,0.0
201807,16402900720000.0,0.7159988602308629,0.2603467870041464,0.0236543527649907,0.0,11744458220000.0,4270442499999.999,387999999999.99994,0.0
201808,15769522125000.0,0.7296764945564259,0.2448756829402019,0.0252385580771047,0.0002092644262674,11506649625000.0,3861572499999.999,398000000000.0,3299999999.9991956
201809,15395104937500.0,0.7445006048371406,0.2281010759105778,0.0258523733105927,0.0015459459416887,11461664937500.0,3511639999999.9985,397999999999.9989,23799999999.999794
201810,16187965025000.0,0.7460094586533739,0.2275017270121634,0.0250185863000405,0.0014702280344221,12076375025000.0,3682789999999.999,404999999999.99976,23799999999.99945
201811,15792944270000.0,0.7375008149762818,0.2353478196627613,0.0256443632723589,0.0015070020885978,11647309270000.0,3716834999999.9995,404999999999.9989,23799999999.998657
201812,16710905070000.0,0.7472261387216413,0.2334930384473783,0.0190833469919292,0.000197475839051,12486825070000.0,3901879999999.9985,318899999999.9989,3299999999.99986
201901,16961814070000.0,0.7426147945035221,0.236768306940886,0.0204223438937861,0.0001945546618056,12596094070000.0,4016019999999.9985,346399999999.99963,3299999999.9983177
201902,16610257555000.0,0.7237204188553595,0.255873515863734,0.0202073928648362,0.0001986724160701,12021182555000.0,4250125000000.0005,335649999999.9986,3299999999.9984818
201903,17923904740000.0,0.7252164039340905,0.2563947458247873,0.0183888502411221,0.0,12998709739999.998,4595595000000.0,329599999999.99854,0.0
201904,18332172070000.0,0.750082260710528,0.228801856320346,0.0211158829691259,0.0,13750637070000.0,4194435000000.0,387099999999.9985,0.0
201905,18931213890000.0,0.7549937881981217,0.2243260799162625,0.0206801318856157,0.0,14292948890000.0,4246764999999.9985,391499999999.9998,0.0
201906,19159373585000.0,0.7644873419278859,0.2149378726674064,0.0205747854047076,0.0,14647098585000.0,4118075000000.0,394199999999.9983,0.0
201907,18135775805000.0,0.7523345541820343,0.2244130630947662,0.0232523827231994,0.0,13644170805000.0,4069904999999.999,421699999999.9997,0.0
201908,18308845115000.0,0.7661324363658533,0.209914660147039,0.0239529034871077,0.0,14027000115000.0,3843295000000.0,438549999999.9982,0.0
201909,18416457020661.0,0.767411288979499,0.2099784988861665,0.0226102121343345,0.0,14132997020661.0,3867059999999.9985,416399999999.99915,0.0
201910,18462910070000.0,0.7721981538092386,0.2055193350134754,0.0222825111772859,0.0,14257025070000.0,3794484999999.999,411399999999.9994,0.0
201911,18859762610000.0,0.7650031396657119,0.2141853576597059,0.0208115026745821,0.0,14427777610000.0,4039484999999.9985,392499999999.99854,0.0
201912,20192494600000.0,0.7616075380800151,0.2235280280822756,0.0148644338377091,0.0,15378756100000.0,4513588499999.998,300149999999.9983,0.0
202001,20335229580000.0,0.754611572966564,0.2284154197387723,0.0169730072946636,0.0,15345199580000.0,4644879999999.998,345149999999.999,0.0
202002,20847907595000.0,0.7571876229337249,0.2266812618228126,0.0161311152434623,0.0,15785777595000.0,4725829999999.998,336299999999.998,0.0
202003,19900306545000.0,0.7401136516010387,0.2413816083253706,0.0185047400735906,0.0,14728488545000.0,4803567999999.999,368249999999.99884,0.0
202004,18680382860000.0,0.7391092015337848,0.2402407934373567,0.0206500050288583,0.0,13806842860000.0,4487789999999.998,385749999999.9984,0.0
