업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,2.0,200.0,,,,,,,2,200
제조업,21.0,7050.0,72.0,4637.0,,,,,93,11687
"전기, 가스, 증기 및 공기조절 공급업",203.0,79100.0,,,,,,,203,79100
건설업,,,9.0,440.0,,,,,9,440
도매 및 소매업,9.0,5050.0,11.0,635.0,,,,,20,5685
운수 및 창고업,6.0,2000.0,10.0,770.0,,,,,16,2770
숙박 및 음식점업,,,12.0,100.0,,,,,12,100
정보통신업,,,15.0,923.0,,,,,15,923
금융 및 보험업,428.0,173187.0,416.0,20084.0,,,,,844,193271
부동산업,11.0,2670.0,10.0,3990.0,,,,,21,6660
"사업시설 관리, 사업 지원 및 임대 서비스업",,,32.0,825.0,,,,,32,825
합계,680.0,269257.0,587.0,32404.0,,,,,1267,301661
