업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,2.0,200.0,,,,,,,2,200
제조업,25.0,8400.0,63.0,5709.0,,,,,88,14109
"전기, 가스, 증기 및 공기조절 공급업",312.0,105400.0,,,,,,,312,105400
건설업,17.0,4300.0,33.0,1740.0,,,,,50,6040
도매 및 소매업,10.0,5500.0,13.0,705.0,,,,,23,6205
운수 및 창고업,11.0,2450.0,10.0,770.0,,,,,21,3220
숙박 및 음식점업,,,13.0,200.0,,,,,13,200
정보통신업,,,18.0,1212.0,,,,,18,1212
금융 및 보험업,430.0,182544.0,471.0,28987.0,,,,,901,211531
부동산업,11.0,2670.0,12.0,4860.0,,,,,23,7530
"사업시설 관리, 사업 지원 및 임대 서비스업",,,36.0,995.0,,,,,36,995
합계,818.0,311464.0,669.0,45178.0,,,,,1487,356642
