플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
74117,디비엠비피제십차,KRZF0112V4GF,디비엠비피제십차 20260320-182-37,N,20260320,20260918,매출채권,KRW,,5000000000,5000000000,149,,A1,A1,,한화솔루션,자체 신용보강,자체 신용보강,한화솔루션
74117,디비엠비피제십차,KRZF0112V5GF,디비엠비피제십차 20260320-182-38,N,20260320,20260918,매출채권,KRW,,3400000000,3400000000,149,,A1,A1,,한화솔루션,자체 신용보강,자체 신용보강,한화솔루션
61348,마인드유틸리티,KRZFA55271G3,마인드유틸리티 20260320-186-1,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55272G3,마인드유틸리티 20260320-186-2,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55273G3,마인드유틸리티 20260320-186-3,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55274G3,마인드유틸리티 20260320-186-4,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55275G3,마인드유틸리티 20260320-186-5,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55276G3,마인드유틸리티 20260320-186-6,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55277G3,마인드유틸리티 20260320-186-7,N,20260320,20260922,수익증권,KRW,,5000000000,5000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55278G3,마인드유틸리티 20260320-186-8,N,20260320,20260922,수익증권,KRW,,1000000000,1000000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
61348,마인드유틸리티,KRZFA55279G3,마인드유틸리티 20260320-186-9,N,20260320,20260922,수익증권,KRW,,800000000,800000000,153,A1,A1,,,마일스톤자산운용,외부 신용보강,금융기관,메리츠증권
74235,베어버드제십차,KRZF0133F1G3,베어버드제십차 20260320-126-1,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FAG3,베어버드제십차 20260320-126-10,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FBG3,베어버드제십차 20260320-126-11,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FCG3,베어버드제십차 20260320-126-12,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FFG3,베어버드제십차 20260320-126-15,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FJG3,베어버드제십차 20260320-126-18,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F2G3,베어버드제십차 20260320-126-2,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FMG3,베어버드제십차 20260320-126-21,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FNG3,베어버드제십차 20260320-126-22,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FPG3,베어버드제십차 20260320-126-23,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FQG3,베어버드제십차 20260320-126-24,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FRG3,베어버드제십차 20260320-126-25,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FSG3,베어버드제십차 20260320-126-26,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FTG3,베어버드제십차 20260320-126-27,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F3G3,베어버드제십차 20260320-126-3,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F0GF,베어버드제십차 20260320-126-33,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F2GF,베어버드제십차 20260320-126-35,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F5GF,베어버드제십차 20260320-126-38,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F4G3,베어버드제십차 20260320-126-4,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F7GF,베어버드제십차 20260320-126-40,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FAGF,베어버드제십차 20260320-126-43,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FFGF,베어버드제십차 20260320-126-48,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F5G3,베어버드제십차 20260320-126-5,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F6G3,베어버드제십차 20260320-126-6,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F7G3,베어버드제십차 20260320-126-7,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F8G3,베어버드제십차 20260320-126-8,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F9G3,베어버드제십차 20260320-126-9,N,20260320,20260724,정기예금,KRW,,5000000000,5000000000,93,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FDG3,베어버드제십차 20260320-161-13,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FEG3,베어버드제십차 20260320-161-14,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FGG3,베어버드제십차 20260320-161-16,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FHG3,베어버드제십차 20260320-161-17,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FKG3,베어버드제십차 20260320-161-19,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FLG3,베어버드제십차 20260320-161-20,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FVG3,베어버드제십차 20260320-161-28,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FWG3,베어버드제십차 20260320-161-29,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FXG3,베어버드제십차 20260320-161-30,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FYG3,베어버드제십차 20260320-161-31,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FZG3,베어버드제십차 20260320-161-32,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F1GF,베어버드제십차 20260320-161-34,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F3GF,베어버드제십차 20260320-161-36,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F6GF,베어버드제십차 20260320-161-39,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F9GF,베어버드제십차 20260320-161-42,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FBGF,베어버드제십차 20260320-161-44,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FCGF,베어버드제십차 20260320-161-45,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FDGF,베어버드제십차 20260320-161-46,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FEGF,베어버드제십차 20260320-161-47,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133FGGF,베어버드제십차 20260320-161-49,N,20260320,20260828,정기예금,KRW,,5000000000,5000000000,128,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F8GF,베어버드제십차 20260320-294-41,N,20260320,20270108,정기예금,KRW,,208000000,208000000,261,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74235,베어버드제십차,KRZF0133F4GF,베어버드제십차 20260320-322-37,N,20260320,20270205,정기예금,KRW,,197000000,197000000,289,A1,A1,,,신한은행,자체 신용보강,자체 신용보강,신한은행
74221,비엔케이썸제이십사차,KRZF0048R1G3,비엔케이썸제이십사차 20260320-194-1,Y,20260320,20260930,PF대출채권,KRW,,100000000,100000000,161,A1,A1,,,투에스제구차(주),외부 신용보강,일반기업,현대건설
74221,비엔케이썸제이십사차,KRZF0048R1G3,비엔케이썸제이십사차 20260320-194-1,Y,20260320,20260930,PF대출채권,KRW,,100000000,100000000,161,A1,A1,,,투에스제구차(주),자체 신용보강,자체 신용보강,세금환급(국세및지방세등)
74221,비엔케이썸제이십사차,KRZF0048R2G3,비엔케이썸제이십사차 20260320-194-2,Y,20260320,20260930,PF대출채권,KRW,,50000000,50000000,161,A1,A1,,,투에스제구차(주),외부 신용보강,일반기업,현대건설
74221,비엔케이썸제이십사차,KRZF0048R2G3,비엔케이썸제이십사차 20260320-194-2,Y,20260320,20260930,PF대출채권,KRW,,50000000,50000000,161,A1,A1,,,투에스제구차(주),자체 신용보강,자체 신용보강,세금환급(국세및지방세등)
74236,비케이신한제이차,KRZF0076W1G3,비케이신한제이차 20260320-207-1,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
74236,비케이신한제이차,KRZF0076WAG3,비케이신한제이차 20260320-207-10,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
74236,비케이신한제이차,KRZF0076WBG3,비케이신한제이차 20260320-207-11,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
74236,비케이신한제이차,KRZF0076WCG3,비케이신한제이차 20260320-207-12,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
74236,비케이신한제이차,KRZF0076WDG3,비케이신한제이차 20260320-207-13,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
74236,비케이신한제이차,KRZF0076WEG3,비케이신한제이차 20260320-207-14,,20260320,20261013,,KRW,,5000000000,5000000000,174,A1,,A1,,,,,
