플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
68268,가온해제구차,KRZS0003P006,가온해제구차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,3000000000,3000000000,8,N,A1,A1,,,(주)씨지주택,외부 신용보강,금융기관,한국투자증권
73821,노바프라임일차,KRZS0044A019,노바프라임일차 20260220-31-1(단),,20260220,20260323,,KRW,,4100000000,4100000000,11,N,,A1,A1,,,,,
70043,뉴스타프라임가양제사차,KRZS0000P009,뉴스타프라임가양제사차 20260220-31-1(단),Y,20260220,20260323,PF대출채권,KRW,,32700000000,32700000000,11,N,,A1,A1,,인창개발(주),외부 신용보강,일반기업,현대건설
66807,더에이치남천제일차,KRZS48797007,더에이치남천제일차 20260220-89-1(단),Y,20260220,20260520,PF대출채권,KRW,,15000000000,15000000000,69,N,A1,,A1,,큐브광안피에프브이(주),외부 신용보강,금융기관,현대차증권
72678,더에이치본리제일차,KRZS39239028,더에이치본리제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,22500000000,22500000000,8,N,,A1,A1,,에스앤비본리 주식회사,외부 신용보강,금융기관,현대차증권
73812,디비엠비피제사차,KRZS0058Z019,디비엠비피제사차 20260220-89-2(단),N,20260220,20260520,매출채권,KRW,,8600000000,8600000000,69,N,,A2+,A2+,,녹십자,자체 신용보강,자체 신용보강,녹십자
71376,디에이치이글제일차,KRZS0071G003,디에이치이글제일차 20260220-89-1(단),Y,20260220,20260520,PF대출채권,KRW,,8800000000,8800000000,69,N,A1,,A1,,천안테크노파크(주),외부 신용보강,금융기관,교보증권
70127,루턴제일차,KRZS0054X004,루턴제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,30000000000,30000000000,8,N,A1,,A1,,해운대마린원피에프브이(주),외부 신용보강,금융기관,교보증권
73781,마이에스부성오,KRZS0165M001,마이에스부성오 20260220-24-1(단),Y,20260220,20260316,PF대출채권,KRW,,22300000000,22300000000,4,N,A1,A1,,,봄디앤씨(주),외부 신용보강,금융기관,삼성증권
73781,마이에스부성오,KRZS0165M002,마이에스부성오 20260220-28-2(단),Y,20260220,20260320,PF대출채권,KRW,,21000000000,21000000000,8,N,A1,A1,,,봄디앤씨(주),외부 신용보강,금융기관,삼성증권
73782,마이에스부성육,KRZS0165N002,마이에스부성육 20260220-24-2(단),Y,20260220,20260316,PF대출채권,KRW,,29700000000,29700000000,4,N,A1,A1,,,김오개발(주),외부 신용보강,금융기관,삼성증권
73782,마이에스부성육,KRZS0165N001,마이에스부성육 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,29000000000,29000000000,8,N,A1,A1,,,김오개발(주),외부 신용보강,금융기관,삼성증권
67892,마이트오산양산동제일차,KRZS49847017,마이트오산양산동제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,20800000000,20800000000,8,N,A1,,A1,,(주)양산사지구에스피씨,외부 신용보강,금융기관,대신증권
67892,마이트오산양산동제일차,KRZS49847017,마이트오산양산동제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,20800000000,20800000000,8,N,A1,,A1,,(주)양산사지구에스피씨,외부 신용보강,일반기업,지에스건설
65206,머니로드제일차,KRZS47870010,머니로드제일차 20260220-34-1(단),Y,20260220,20260326,PF대출채권,KRW,,10000000000,10000000000,14,N,A1,,A1,,(주)씨엔비네트웍스,외부 신용보강,금융기관,아이비케이투자증권
73822,모멘텀제일차,KRZS47670012,모멘텀제일차 20260220-89-1(단),N,20260220,20260520,하이브리드증권,KRW,,203900000000,203900000000,69,N,A1,A1,,,롯데컬처웍스,외부 신용보강,일반기업,롯데쇼핑
69356,부산외대제이차,KRZS0027H006,부산외대제이차 20260220-34-1(단),Y,20260220,20260326,PF대출채권,KRW,,2600000000,2600000000,14,N,A1,,A1,,부산외대제일차(주),외부 신용보강,금융기관,한국투자증권
68249,블루베어제삼차,KRZS0005R007,블루베어제삼차 20260220-28-1(단),N,20260220,20260320,신용파생,KRW,,170100000000,170100000000,8,N,A1,,A1,,메리츠캐피탈,외부 신용보강,금융기관,메리츠증권
73814,비케이씨에스제이십이차,KRZS0011H022,비케이씨에스제이십이차 20260220-89-2(단),N,20260220,20260520,매출채권,KRW,,11600000000,11600000000,69,N,A1,A1,,,한화시스템,자체 신용보강,자체 신용보강,한화시스템
73815,비케이프로제구차,KRZS45714260,비케이프로제구차 20260220-28-5(단),N,20260220,20260320,매출채권,KRW,,120000000000,120000000000,8,N,,,A1,A1,SK에너지,자체 신용보강,자체 신용보강,SK에너지
71372,알파비전제일차,KRZS0097G007,알파비전제일차 20260220-28-1(단),N,20260220,20260320,대출채권,KRW,,13448456560,13448456560,8,N,,A1,A1,,뉴월드양산제일차(주),외부 신용보강,금융기관,디비증권(주)
68930,에이디올제육차,KRZS37668031,에이디올제육차 20260220-4-1(단),Y,20260220,20260224,PF대출채권,KRW,,1500000000,1500000000,0,N,A1,A1,,,지디홀딩스원주 유한회사,외부 신용보강,금융기관,한국투자증권
73823,에이버리일차,KRZS0050V001,에이버리일차 20260220-89-1(단),Y,20260220,20260520,PF대출채권,KRW,,5901639344,5901639344,69,N,A1,,,,인창개발(주),외부 신용보강,금융기관,메리츠증권
71345,에이유이오제일차,KRZS0097V006,에이유이오제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,160000000000,160000000000,8,N,A1,A1,,,(주)신영피에프브이제3호,외부 신용보강,금융기관,NH투자증권
71345,에이유이오제일차,KRZS0097V006,에이유이오제일차 20260220-28-1(단),Y,20260220,20260320,PF대출채권,KRW,,160000000000,160000000000,8,N,A1,A1,,,(주)신영피에프브이제3호,외부 신용보강,공공기관,주택도시보증공사
71424,에이치신도림제이차,KRZS36083025,에이치신도림제이차 20260220-49-1(단),N,20260220,20260410,수익증권,KRW,,12000000000,12000000000,29,N,A1,A1,,,케펠자산운용,외부 신용보강,금융기관,한국투자증권
