플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,실질자금조달자,신용보강 유형,신용보강기관 유형,신용보강기관
66581,광천하이엔드제일차,KRZS48741013,광천하이엔드제일차 20260227-89-1(단),Y,20260227,20260527,PF대출채권,KRW,,7300000000,7300000000,76,N,A1,,A1,,광천동주택재개발정비사업조합,외부 신용보강,일반기업,현대건설
66163,그레이트더블에스제일차,KRZS48718008,그레이트더블에스제일차 20260227-59-1(단),N,20260227,20260427,하이브리드증권,KRW,,30500000000,30500000000,46,N,A1,,A1,,에스케이온(주),외부 신용보강,금융기관,신한투자증권(주)
68313,글로리미아제이차,KRZS0004X007,글로리미아제이차 20260227-31-1(단),Y,20260227,20260330,PF대출채권,KRW,,4500000000,4500000000,18,N,A1,A1,,,주식회사 범산도시개발,외부 신용보강,일반기업,한화
68313,글로리미아제이차,KRZS0004X007,글로리미아제이차 20260227-31-1(단),Y,20260227,20260330,PF대출채권,KRW,,4500000000,4500000000,18,N,A1,A1,,,주식회사 범산도시개발,외부 신용보강,금융기관,한국투자증권
68313,글로리미아제이차,KRZS0004X008,글로리미아제이차 20260227-4-2(단),Y,20260227,20260303,PF대출채권,KRW,,9000000000,9000000000,0,N,A1,A1,,,주식회사 범산도시개발,외부 신용보강,일반기업,한화
68313,글로리미아제이차,KRZS0004X008,글로리미아제이차 20260227-4-2(단),Y,20260227,20260303,PF대출채권,KRW,,9000000000,9000000000,0,N,A1,A1,,,주식회사 범산도시개발,외부 신용보강,금융기관,한국투자증권
72854,금남로피아이제일차,KRZS40758033,금남로피아이제일차 20260227-4-1(단),Y,20260227,20260303,PF대출채권,KRW,,20000000000,20000000000,0,N,,A1,A1,,스카이럭스 주식회사,외부 신용보강,금융기관,유안타증권
71989,기은센모곡제일차,KRZS44230023,기은센모곡제일차 20260227-32-1(단),Y,20260227,20260331,PF대출채권,KRW,,9000000000,9000000000,19,N,A1,A1,,,(주)에스피씨재현,외부 신용보강,금융기관,아이비케이투자증권
72755,기은센상동제삼차,KRZS0135G004,기은센상동제삼차 20260227-7-2(단),Y,20260227,20260306,PF대출채권,KRW,,20000000000,20000000000,0,N,A1,,A1,,주식회사 미래도시,외부 신용보강,금융기관,키움증권
71079,노원제일차,KRZS0088X014,노원제일차 20260227-32-1(단),Y,20260227,20260331,PF대출채권,KRW,,700000000,700000000,19,N,A2+,A2+,,,노원2동 주택재개발정비사업조합,차환발행위험(유동성 공여형 매입약정),금융기관,NH투자증권
71079,노원제일차,KRZS0088X014,노원제일차 20260227-32-1(단),Y,20260227,20260331,PF대출채권,KRW,,700000000,700000000,19,N,A2+,A2+,,,노원2동 주택재개발정비사업조합,외부 신용보강,일반기업,(주)포스코이앤씨
73937,뉴서율제이차,KRZS0168B001,뉴서율제이차 20260227-88-1(단),Y,20260227,20260526,PF대출채권,KRW,,20000000000,20000000000,75,N,,A1,,,주식회사 신화에이엠씨,외부 신용보강,금융기관,교보증권
65508,뉴스타김포제사차,KRZS41818045,뉴스타김포제사차 20260227-32-1(단),Y,20260227,20260331,PF대출채권,KRW,,7000000000,7000000000,19,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZS0138W005,뉴스타시네제일차 20260227-28-1(단),Y,20260227,20260327,PF대출채권,KRW,,100707000000,100707000000,15,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
72760,뉴스타시네제일차,KRZS0138W006,뉴스타시네제일차 20260227-28-2(단),Y,20260227,20260327,PF대출채권,KRW,,50000000000,50000000000,15,N,,A1,A1,,(주)한강시네폴리스개발,외부 신용보강,금융기관,케이비증권
71547,당수더퍼스트제일차,KRZS0100G003,당수더퍼스트제일차 20260227-89-1(단),Y,20260227,20260527,PF대출채권,KRW,,5000000000,5000000000,76,N,,A1,A1,,주식회사 창암종합건설,외부 신용보강,금융기관,교보증권
73938,더모스트성수제일차,KRZS0139N001,더모스트성수제일차 20260227-28-1(단),Y,20260227,20260327,PF대출채권,KRW,,16500000000,16500000000,15,N,A1,,A1,,에이치엘성수프로젝트위탁관리부동산투자회사(주),외부 신용보강,금융기관,한화투자증권
54596,더블리치제오차,KRZS37163028,더블리치제오차 20260227-88-1(단),Y,20260227,20260526,PF대출채권,KRW,,1000000000,1000000000,75,N,A1,A1,A1,,주식회사 신화에이엠씨,외부 신용보강,금융기관,교보증권
73564,더블유디디비제이차,KRZS45681005,더블유디디비제이차 20260227-14-3(단),N,20260227,20260313,대출채권,KRW,,20000000000,20000000000,1,N,A1,,A1,,케이디비인베스트먼트글로벌헬스케어제일호(주),외부 신용보강,금융기관,디비증권(주)
72805,더에이치김포,KRZS0141F003,더에이치김포 20260227-28-1(단),Y,20260227,20260327,PF대출채권,KRW,,43100000000,43100000000,15,N,A1,A1,,,(주)한강시네폴리스개발,외부 신용보강,금융기관,현대차증권
72863,더에이치제일차,KRZS0034C005,더에이치제일차 20260227-89-1(단),N,20260227,20260527,수익증권,KRW,,1200000000,1200000000,76,N,A1,A1,,,대신자산운용,외부 신용보강,금융기관,대신증권
73694,더프로즌제일차,KRZS0154Y002,더프로즌제일차 20260227-7-2(단),Y,20260227,20260306,PF대출채권,KRW,,33200000000,33200000000,0,N,A1,,A1,,(주)정원주택개발,외부 신용보강,금융기관,현대차증권
68052,드림제일차,KRZS0000A018,드림제일차 20260227-89-1(단),N,20260227,20260527,대출채권,KRW,,10100000000,10100000000,76,N,A1,,A1,,롯데관광개발,외부 신용보강,금융기관,신한투자증권(주)
