YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b+,issue_detail_c,issue_detail_d
201601,0.0,0.022703762828138,6.160795296900596e-05,0.0,0.9772346292188928,0.9772346292188928,0.0072204520879674,0.0148672312104805,0.00061607952969,0.0,0.0,0.0,6.160795296900596e-05,0.0,0.0
201602,0.0,0.0285080432398893,0.0,0.002466235934012,0.9690257208260986,0.9690257208260986,0.0086153841961485,0.0198926590437407,0.0,0.0,0.002466235934012,0.0,0.0,0.0,0.0
201603,0.0,0.0403609245489401,0.0,0.0,0.9596390754510598,0.9596390754510598,0.0218566657022114,0.0111685764496113,0.0073356823971174,0.0,0.0,0.0,0.0,0.0,0.0
201604,0.0,0.0760245308453584,0.0,0.0,0.9239754691546416,0.9239754691546416,0.0174058754234677,0.0197365065504195,0.038882148871471,0.0,0.0,0.0,0.0,0.0,0.0
201605,0.0,0.0371929988222594,0.0,0.0,0.9628070011777404,0.9628070011777404,0.0164493863563315,0.0058193657291482,0.0149242467367796,0.0,0.0,0.0,0.0,0.0,0.0
201606,0.0,0.0517058847639876,0.0,0.0007329280975753,0.947561187138437,0.947561187138437,0.0056692301564585,0.0232845618691231,0.022752092738406,0.0007329280975753,0.0,0.0,0.0,0.0,0.0
201607,0.0,0.0401615818986788,0.0,0.0,0.9598384181013212,0.9598384181013212,0.0144044993230225,0.0062731466927728,0.0194839358828834,0.0,0.0,0.0,0.0,0.0,0.0
201608,0.0,0.0338567323066693,0.0,0.0020894488268089,0.9640538188665218,0.9640538188665218,0.0013929658845392,0.0104026692257393,0.0220610971963907,0.0,0.0020894488268089,0.0,0.0,0.0,0.0
201609,0.0,0.0700770944217667,0.0,0.0,0.9299229055782332,0.9299229055782332,0.0125576107157253,0.0301088537985492,0.0274106299074921,0.0,0.0,0.0,0.0,0.0,0.0
201610,0.0,0.0457407997518861,0.0,0.0,0.9542592002481138,0.9542592002481138,0.0094852759887987,0.021607769695139,0.0146477540679483,0.0,0.0,0.0,0.0,0.0,0.0
201611,0.0,0.0229528690799695,0.0,0.0032317766297477,0.9738153542902828,0.9738153542902828,0.0013190925019378,0.0126441611773252,0.0089896154007064,0.0005276370007751,0.0027041396289725,0.0,0.0,0.0,0.0
