YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_other
201601,0.0,0.1504338509781321,0.0,0.0103627295229515,0.8392034194989163,0.8392034194989163,0.0269900372264329,0.0929377372230562,0.0305060765286429,0.0029122099548378,0.0052204818171081,0.0022300377510055,0.0,0.0,0.0,0.0,0.0
201602,0.0,0.1570146640107574,0.0004827160665207,0.0100565847191821,0.8324460352035397,0.8324460352035397,0.040503900614978,0.0886990772231866,0.0278116861725926,0.0032502881812396,0.0064040331491752,0.0004022633887672,0.0,0.0004827160665207,0.0,0.0,0.0
201603,0.0,0.1485956125175954,0.0025937262179631,0.0176788379016367,0.8311318233628047,0.8311318233628047,0.0327597996233616,0.0816574179447275,0.0341783949495062,0.002884223554375,0.0131000465515258,0.0016945677957359,0.0,0.0005879112760716,0.0020058149418914,0.0,0.0
201604,0.0,0.1776372865134285,0.0006757584248917,0.0161904210177109,0.8054965340439688,0.8054965340439688,0.0340827546453654,0.1039992215908333,0.0395553102772297,0.0130594069823793,0.0015167022425347,0.0016143117927968,0.0,0.0006757584248917,0.0,0.0,0.0
201605,0.0,0.1533656118655544,0.0003917711034744,0.0089170509856024,0.8373255660453688,0.8373255660453688,0.0253373702790517,0.0964438255596578,0.0315844160268448,0.0043946497694086,0.0030915850122002,0.0014308162039935,0.0,0.0003917711034744,0.0,0.0,0.0
201606,0.0,0.1299706110646462,0.0004727673133836,0.0149394471029248,0.8546171745190452,0.8546171745190452,0.0259592233894321,0.068577047748639,0.0354343399265749,0.010839265130488,0.0033437542710228,0.0007564277014139,0.0,0.0004727673133836,0.0,0.0,0.0
201607,0.0,0.186333245018525,0.0,0.0086058972743211,0.8050608577071537,0.8050608577071537,0.024955665384801,0.1125950199313101,0.0487825597024139,0.0051577915216716,0.0020113950223788,0.0014367107302706,0.0,0.0,0.0,0.0,0.0
201608,0.0,0.1631984714214687,0.0078719530694357,0.0205423022424899,0.8083872732666055,0.8083872732666055,0.0281445117463225,0.101377990205031,0.0336759694701151,0.0112266512163044,0.0084950227139278,0.0008206283122577,0.0,0.0002735427707525,0.0,0.0,0.0075984102986831
201609,0.0,0.1417126737983457,0.0027917877078734,0.0187164507429214,0.8367790877508593,0.8367790877508593,0.0299830351092162,0.0671176359906563,0.0446120026984731,0.0127427899214169,0.0049028381390325,0.001070822682472,0.0,0.0005736550084671,0.0022181326994063,0.0,0.0
201610,0.0,0.1406544943797408,0.0067757139481819,0.0163924847548366,0.8361773069172406,0.8361773069172406,0.0282411757360224,0.0701015365078906,0.0423117821358277,0.011717242130591,0.0031845855556455,0.0014906570686,0.0,0.0,0.0,0.0,0.0067757139481819
201611,0.0,0.1409895509948157,0.0001449154443578,0.0172288361625437,0.8416366973982826,0.8416366973982826,0.0509458295498023,0.0632314388881395,0.0268122825568739,0.0101601828210888,0.0056356006139161,0.0014330527275386,0.0,0.0001449154443578,0.0,0.0,0.0
201612,0.0,0.1422278149633633,0.0006273921240425,0.0147579358031448,0.8423868571094493,0.8423868571094493,0.0513206757466804,0.0530439127807173,0.0378632264359654,0.0112947312784299,0.0032540738167006,0.0002091307080141,0.0,0.0006273921240425,0.0,0.0,0.0
201701,0.0,0.1752768885944162,0.0007982693520447,0.0200764742039258,0.8038483678496131,0.8038483678496131,0.0370929158916801,0.0885724194391004,0.0496115532636355,0.0154731209404677,0.0025633315860104,0.0020400216774477,0.0,0.0007982693520447,0.0,0.0,0.0
201702,0.0,0.1710645006623162,0.0001462784328703,0.0197150821190869,0.8090741387857264,0.8090741387857264,0.0381461646607559,0.0837606559775056,0.0491576800240546,0.0126368312840808,0.0057779980983803,0.0013002527366256,0.0,0.0001462784328703,0.0,0.0,0.0
201703,0.0,0.157373663353905,0.0031007496423306,0.0244446960912799,0.8150808909124844,0.8150808909124844,0.0411677610047516,0.0622443633681005,0.0539615389810528,0.0187529090765908,0.0044344967487578,0.0012572902659313,0.0,0.0006371403374652,0.0024636093048654,0.0,0.0
201704,0.0,0.1515271596050117,0.0,0.0183901171684827,0.8300827232265056,0.8300827232265056,0.0283047832419699,0.0800725668042834,0.0431498095587584,0.0122230043962323,0.0045554051147076,0.0016117076575427,0.0,0.0,0.0,0.0,0.0
201705,0.0,0.1320726638817139,0.0007653305271214,0.0254543264205562,0.8417076791706085,0.8417076791706085,0.0111965021560353,0.0895649308545128,0.0313112308711658,0.0138893317884994,0.0099351240650389,0.0016298705670177,0.0,0.0007653305271214,0.0,0.0,0.0
201706,0.0,0.1243586970627676,0.0010814552061253,0.0317688281351386,0.8427910195959684,0.8427910195959684,0.0177358653804559,0.0697495349742613,0.0368732967080503,0.0232556127525197,0.0052255915559977,0.0032876238266211,0.0,0.0010814552061253,0.0,0.0,0.0
201707,0.0,0.1618125630676084,0.0009460141271442,0.0195194248234106,0.8177219979818365,0.8177219979818365,0.021127648839556,0.0885469223007063,0.0521379919273461,0.0152749747729566,0.002920030272452,0.001324419778002,0.0,0.0009460141271442,0.0,0.0,0.0
