YYYYMM,tenor_total_amt,tenor_amt_ultra,tenor_share_ultra,tenor_amt_short,tenor_share_short,tenor_amt_mid,tenor_share_mid,tenor_amt_main,tenor_share_main,tenor_amt_long,tenor_share_long,tenor_amt_xlong,tenor_share_xlong
201601,9758701000000,21600000000,0.0022134093461824,1005900000000,0.1030772435798576,8730731000000,0.8946611849261495,0,0.0,470000000,4.816214781045141e-05,0,0.0
201602,17672091000000,96600000000,0.0054662461844498,1967200000000,0.1113167649487545,15456621000000,0.8746345296660141,151050000000,0.0085473756331381,620000000,3.508356764346675e-05,0,0.0
201603,22767818000000,1068250000000,0.0469192963506647,8307131000000,0.3648628515916632,12469167000000,0.5476663156741678,922650000000,0.0405243049641384,620000000,2.723141936570294e-05,0,0.0
201604,23466007000000,1230900000000,0.0524545995405183,7474090000000,0.3185071068972237,14348777000000,0.6114707542702088,151520000000,0.0064569996932158,260720000000,0.0111105395988333,0,0.0
201605,23665246000000,979579000000,0.0413931467266387,7141797000000,0.3017841859746566,15166080000000,0.6408587512675761,116970000000,0.0049426910668919,260820000000,0.0110212249642365,0,0.0
201606,25674880000000,1236390000000,0.0481556291597078,9051650000000,0.3525488726724331,14356920000000,0.5591815813744796,767920000000,0.0299093900341501,262000000000,0.0102045267592292,0,0.0
201607,26178605000000,1489050000000,0.0568804181888225,6799190000000,0.2597231594273262,17135285000000,0.65455302144633,150000000,5.729869868925407e-06,754930000000,0.0288376710676523,0,0.0
201608,26607609880000,2010210000000,0.0755501906810127,8412560000000,0.3161712020711572,15344459880000,0.5766944099527664,86220000000,0.0032404263437734,754160000000,0.0283437709512899,0,0.0
201609,26762754880000,1430175000000,0.0534390053046736,8957500000000,0.3347002220124209,15254949880000,0.5700067107590682,139860000000,0.0052259194028085,980270000000,0.0366281425210288,0,0.0
201610,27662199880000,1895200000000,0.0685122661328987,8260704880000,0.2986279079695523,15960665000000,0.5769846602670127,585730000000,0.0211743824620213,959900000000,0.0347007831685149,0,0.0
201611,26071472920000,1341450000000,0.0514527891890198,7742915000000,0.2969880153591261,15766027920000,0.6047233299161067,260770000000,0.0100021199722842,960310000000,0.0368337455634631,0,0.0
201612,26074625920000,1151050000000,0.044144449225525,8616950000000,0.3304726221744392,15083237920000,0.5784642113860861,260260000000,0.0099813512492377,963128000000,0.0369373659647117,0,0.0
201701,27011585920000,1298370000000,0.0480671517712944,8535857920000,0.3160072846252191,16013800000000,0.592849307235345,492900000000,0.0182477253079407,670658000000,0.0248285310602007,0,0.0
201702,27560287150000,2550700000000,0.0925498339737,6033800000000,0.2189309555143731,17752229150000,0.644123519228282,503200000000,0.0182581551948743,720358000000,0.0261375360887703,0,0.0
201703,27871447150000,1785050000000,0.0640458312190653,9562112000000,0.3430791357383823,14948974150000,0.5363544300210475,940610000000,0.0337481579244083,634701000000,0.0227724450970964,0,0.0
201704,27266602150000,1127182000000,0.0413392909684568,8752354150000,0.3209917430067464,16661155000000,0.6110462502200701,473428000000,0.0173629261686352,252483000000,0.0092597896360914,0,0.0
201705,28729011380000,2793138000000,0.0972236031047163,7406350000000,0.257800378232159,17535642380000,0.6103809890307474,691658000000,0.0240752454322707,302223000000,0.0105197842001063,0,0.0
201706,26069062480000,1476768100000,0.0566483010707794,8906320000000,0.341643279532314,14654351380000,0.5621357266392957,677261000000,0.0259794919943741,354362000000,0.0135932007632366,0,0.0
