업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,671.0,40500.0,,,,,,,671,40500
제조업,1057.0,64520.0,225.0,10390.0,,,,,1282,74910
"전기, 가스, 증기 및 공기조절 공급업",1230.0,122230.0,33.0,750.0,,,,,1263,122980
"수도, 하수 및 폐기물 처리, 원료 재생업",,,12.0,1200.0,,,,,12,1200
건설업,576.0,57500.0,216.0,7585.0,15.0,518.0,,,807,65603
도매 및 소매업,307.0,19199.0,59.0,2210.0,,,,,366,21409
운수 및 창고업,37.0,2515.0,1.0,50.0,,,,,38,2565
숙박 및 음식점업,158.0,7900.0,38.0,1900.0,,,,,196,9800
정보통신업,124.0,7760.0,129.0,6770.0,,,,,253,14530
금융 및 보험업,13656.0,699200.0,1206.0,61533.0,,,,,14862,760733
부동산업,150.0,10455.0,3.0,150.0,,,,,153,10605
"전문, 과학 및 기술 서비스업",10.0,500.0,68.0,3250.0,,,,,78,3750
"사업시설 관리, 사업 지원 및 임대 서비스업",11.0,530.0,82.0,4200.0,,,,,93,4730
보건업 및 사회복지 서비스업,10.0,338.0,,,,,,,10,338
"예술, 스포츠 및 여가관련 서비스업",32.0,1555.0,22.0,495.0,,,,,54,2050
"협회 및 단체, 수리 및 기타 개인 서비스업",68.0,4655.0,,,,,,,68,4655
기타,24.0,1200.0,,,,,,,24,1200
합계,18121.0,1040557.0,2094.0,100483.0,15.0,518.0,,,20230,1141558
