업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,658.0,40600.0,,,,,,,658,40600
제조업,1098.0,72060.0,531.0,19685.0,,,,,1629,91745
"전기, 가스, 증기 및 공기조절 공급업",1131.0,112780.0,35.0,1400.0,,,,,1166,114180
"수도, 하수 및 폐기물 처리, 원료 재생업",,,12.0,1200.0,,,,,12,1200
건설업,656.0,65500.0,231.0,8700.0,14.0,428.0,,,901,74628
도매 및 소매업,395.0,24150.0,87.0,3590.0,,,,,482,27740
운수 및 창고업,129.0,10715.0,1.0,50.0,,,,,130,10765
숙박 및 음식점업,116.0,5800.0,41.0,2050.0,,,,,157,7850
정보통신업,135.0,8650.0,116.0,9910.0,,,,,251,18560
금융 및 보험업,15487.0,830500.0,1260.0,64241.0,,,,,16747,894741
부동산업,135.0,9705.0,7.0,450.0,,,,,142,10155
"전문, 과학 및 기술 서비스업",26.0,1300.0,56.0,2800.0,,,,,82,4100
"사업시설 관리, 사업 지원 및 임대 서비스업",11.0,530.0,159.0,8050.0,,,,,170,8580
보건업 및 사회복지 서비스업,9.0,308.0,,,,,,,9,308
"예술, 스포츠 및 여가관련 서비스업",25.0,1205.0,22.0,515.0,,,,,47,1720
"협회 및 단체, 수리 및 기타 개인 서비스업",67.0,4555.0,,,,,,,67,4555
기타,30.0,3000.0,,,,,,,30,3000
합계,20108.0,1191358.0,2558.0,122641.0,14.0,428.0,,,22680,1314427
