업종,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,신용등급,전체,전체
업종,A1,A1,A2~A3,A2~A3,B1~B3,B1~B3,B3 미만,B3 미만,전체,전체
업종,종목수,금액,종목수,금액,종목수,금액,종목수,금액,종목수,금액
광업,691.0,41700.0,,,,,,,691,41700
제조업,1318.0,81820.0,421.0,20665.0,,,,,1739,102485
"전기, 가스, 증기 및 공기조절 공급업",1250.0,124230.0,47.0,1950.0,,,,,1297,126180
"수도, 하수 및 폐기물 처리, 원료 재생업",,,12.0,1200.0,,,,,12,1200
건설업,596.0,59500.0,234.0,9705.0,15.0,518.0,,,845,69723
도매 및 소매업,365.0,21450.0,64.0,2490.0,,,2.0,250.0,431,24190
운수 및 창고업,92.0,7015.0,1.0,50.0,,,,,93,7065
숙박 및 음식점업,180.0,9000.0,67.0,3350.0,,,,,247,12350
정보통신업,221.0,12960.0,141.0,7470.0,,,,,362,20430
금융 및 보험업,13973.0,715570.0,1267.0,64076.0,,,,,15240,779646
부동산업,150.0,10455.0,5.0,350.0,,,,,155,10805
"전문, 과학 및 기술 서비스업",10.0,500.0,64.0,3300.0,,,,,74,3800
"사업시설 관리, 사업 지원 및 임대 서비스업",11.0,530.0,109.0,5550.0,,,,,120,6080
보건업 및 사회복지 서비스업,10.0,338.0,,,,,,,10,338
"예술, 스포츠 및 여가관련 서비스업",30.0,1455.0,23.0,525.0,,,,,53,1980
"협회 및 단체, 수리 및 기타 개인 서비스업",68.0,4655.0,,,,,,,68,4655
기타,42.0,3600.0,,,,,,,42,3600
합계,19007.0,1094778.0,2455.0,120681.0,15.0,518.0,2.0,250.0,21479,1216227
