YYYYMM,tenor_total_amt,tenor_amt_ultra,tenor_share_ultra,tenor_amt_short,tenor_share_short,tenor_amt_mid,tenor_share_mid,tenor_amt_main,tenor_share_main,tenor_amt_long,tenor_share_long,tenor_amt_xlong,tenor_share_xlong
201601,9628127308658,0,0.0,838507000000,0.0870893137491005,3414470008658,0.3546349045039704,1966415000000,0.2042364976034041,3408735300000,0.3540392841435247,0,0.0
201602,17362523461766,133514000000,0.0076897808255816,1108862000000,0.0638652556721852,6382565008658,0.3676058392498672,3474645153108,0.2001232805104346,6262937300000,0.3607158437419313,0,0.0
201603,28562338014822,992912000000,0.0347629805194778,4010575008658,0.1404148010074235,6578734706164,0.2303289983736647,5708052000000,0.1998454047087423,11272064300000,0.3946478153906914,0,0.0
201604,37074580511299,709788000000,0.0191448693474409,3030069000000,0.0817290164369235,10474933211299,0.2825367965554355,7565311000000,0.2040565502202881,15294479300000,0.4125327674399119,0,0.0
201605,46250568237282,823760000000,0.0178108081996704,4302338553056,0.0930223933894922,10804287505135,0.2336033462271237,7649554879091,0.1653937491069523,22670627300000,0.4901697030767611,0,0.0
201606,55363322402880,2164598000000,0.0390980509487522,5363497505135,0.0968781726303331,10385078879091,0.1875804852085749,9513856718654,0.1718440351072407,27936291300000,0.5045992561050988,0,0.0
201607,60011835997207,1734920000000,0.0289096304282499,3546014879091,0.0590885917780624,14835351718654,0.2472070962692167,9558675399462,0.1592798360627871,30336874000000,0.5055148454616837,0,0.0
201608,69087728545815,5025549000000,0.072741557810333,7177241718654,0.1038859124438353,12912121527161,0.1868945730152124,11032907300000,0.1596941675783075,32939909000000,0.4767837891523116,0,0.0
201609,71839646678258,2157783000000,0.0300361026226072,6179775000000,0.0860217899967802,13265580527161,0.1846554255280848,15004108151097,0.2088555393137524,35232400000000,0.4904311425387752,0,0.0
201610,78564303686994,1592342000000,0.0202680088191707,5198276427699,0.0661658817522181,15681579151097,0.1996018346140197,16414836108198,0.2089350422247223,39677270000000,0.5050292325898691,0,0.0
201611,85899505221588,1836115000000,0.0213751522230951,6113371851097,0.0711688831655878,16934523370491,0.1971434332107778,20182995000000,0.2349605500978796,40832500000000,0.4753519813026595,0,0.0
201612,87563737658545,4317519000000,0.049307157454107,4799668300000,0.0548134242363696,18810045358545,0.2148154688404784,20178783000000,0.2304467984074322,39457722000000,0.4506171510616127,0,0.0
201701,89886141358545,1759244108198,0.0195719171121228,7692866962293,0.0855845722824732,19091125288054,0.212392310978194,22132710000000,0.2462305052312267,39210195000000,0.4362206943959831,0,0.0
201702,92210978604506,1873497000000,0.0203175047955564,9332249000000,0.1012054002813063,21580968375717,0.2340390342052223,19038129228789,0.2064627175300217,40386135000000,0.4379753431878933,0,0.0
201703,90792948701550,2395271000000,0.0263816852988618,8650669000000,0.0952790841548284,22731340701550,0.2503646045935936,19309342000000,0.2126744673033221,37706326000000,0.4153001586493939,0,0.0
201704,91447144701550,1140468000000,0.0124713352584388,11613279087663,0.1269944417134563,22358927613887,0.2445011015582646,24315506000000,0.2658968312171682,32018964000000,0.3501362902526719,0,0.0
201705,89243694385098,1785905000000,0.0200115538952655,10394261385098,0.1164705412154435,18872096000000,0.2114669964083342,28050878000000,0.3143177587310187,30140554000000,0.3377331497499379,0,0.0
201706,93781600500000,1872089000000,0.0199622206277019,9336094000000,0.0995514466614376,18815923500000,0.2006355553720796,27915770000000,0.2976678778264186,35841724000000,0.3821828995123622,0,0.0
201707,93300928500000,2834570000000,0.0303809409570881,6480539000000,0.0694584620344909,26965680500000,0.2890183509802906,21694135000000,0.232517889679951,35326004000000,0.3786243563481793,0,0.0
201708,94676892500000,2070650000000,0.0218707009210299,12471450500000,0.1317264452886431,27167590000000,0.2869505882863656,17904524000000,0.1891118680305228,35062678000000,0.3703403974734384,0,0.0
201709,90454379000000,1023231000000,0.0113121223241165,13398218000000,0.1481212755879956,23691373000000,0.2619151583584472,15526825000000,0.1716536575857759,36814732000000,0.4069977861436648,0,0.0
201710,87935446750000,5282050000000,0.0600673584455292,8844513000000,0.100579610690384,20163186750000,0.2292953239587652,16898622000000,0.1921707641748007,36747075000000,0.4178869427305207,0,0.0
201711,88752859750000,1723160000000,0.0194152617149894,8528338000000,0.0960908530048802,20591908750000,0.2320140309619713,17061703000000,0.1922383464381833,40847750000000,0.4602415078799756,0,0.0
201712,91380507250000,2961469000000,0.0324081041911703,8859931750000,0.0969564737232294,17091444500000,0.1870359994089439,28912497000000,0.316396766335525,33555165000000,0.3672026563411312,0,0.0
201801,91454034000000,1971413000000,0.0215563263179839,8271627000000,0.0904457314589316,18911251000000,0.2067842190536942,28302189000000,0.3094690060364095,33997554000000,0.3717447171329807,0,0.0
201802,91094087000000,1404783000000,0.0154212314570977,6831001500000,0.0749884182932751,21778664500000,0.2390787944337155,29914820000000,0.32839475080309,31164818000000,0.3421168050128215,0,0.0
201803,91379160500000,2850060000000,0.0311893869937664,9633233500000,0.1054204640017457,29989454000000,0.328187015900633,20346223000000,0.2226571451157072,28560190000000,0.3125459879881475,0,0.0
201804,92065673250000,764150000000,0.0083000533534902,10409810000000,0.1130693952753992,30561499250000,0.3319532478409372,21862439000000,0.2374656940881057,28467775000000,0.3092116094420675,0,0.0
201805,97668397370000,5274550000000,0.0540046744088394,12994718000000,0.1330493624337024,23645758250000,0.2421024495817423,26970679120000,0.2761454047190536,28782692000000,0.2946981088566622,0,0.0
201806,93499150870000,3400345000000,0.0363676564798732,9681271250000,0.1035439483665548,22351796500000,0.2390588180964086,30432150120000,0.3254804972754508,27633588000000,0.2955490797817124,0,0.0
201807,95849554620000,3641684000000,0.0379937498347031,8523576000000,0.0889266103926315,24000070500000,0.2503931353165843,29300792120000,0.3056956522767826,30383432000000,0.3169908521792983,0,0.0
201808,97058475920000,1972813000000,0.0203260249174537,8816415000000,0.0908361162323102,31143115120000,0.3208696079842585,21042104000000,0.2167982115991998,34084028800000,0.3511700392667777,0,0.0
201809,98440108077197,2530587700000,0.025706876489972,12444802000000,0.1264200359292652,31309359577197,0.3180549086013204,15303801000000,0.1554630658064568,36851557800000,0.3743551131729854,0,0.0
201810,104646321227197,2407344000000,0.0230045736129933,16667289220000,0.1592725766614743,23311351207197,0.2227632174148374,17507895000000,0.1673054035219137,44752441800000,0.4276542287887812,0,0.0
201811,101374979747197,2464485457197,0.0243105888981954,9997196500000,0.0986160147694275,19444743750000,0.1918100876418438,21594136000000,0.2130124815200969,47874418040000,0.4722508271704362,0,0.0
201812,106796537865423,2836460000000,0.0265594752104632,9061392750000,0.0848472518970464,16755054075423,0.1568876146203958,24523924240000,0.2296322027864163,53619706800000,0.5020734554856782,0,0.0
201901,102960051826989,1383893000000,0.0134410674377422,6107347000000,0.05931763719644,22711166066989,0.2205823099735047,24869988240000,0.2415498807420064,47887657520000,0.4651091046503064,0,0.0
201902,105130143826989,1166787066989,0.011098501576381,8718269500000,0.0829283513047172,25115819500000,0.2389021700696301,24082343040000,0.2290717216142301,46046924720000,0.4379992554350414,0,0.0
201903,106804599717197,2357360000000,0.0220717085803602,12068104500000,0.1129923667328427,24496833697197,0.2293612237868129,25683296520000,0.2404699478112892,42199005000000,0.3951047530886947,0,0.0
201904,107463548750197,2464589000000,0.0229341858580254,10669426000000,0.0992841398230899,26025623230197,0.2421809397965679,29396279520000,0.2735465175110934,38907631000000,0.3620542170112233,0,0.0
201905,110318331750197,1944185457197,0.0176234124134453,10834842240000,0.0982143408815702,25422691333000,0.2304484751506823,31953329720000,0.2896466000986544,40163283000000,0.3640671714556477,0,0.0
201906,113961122347317,3483680000000,0.0305690215070264,12264397533000,0.1076191360736343,25061372454317,0.2199115973773754,35978669000000,0.3157100268839801,37173003360000,0.3261902181579836,0,0.0
201907,116068453026655,2802764000000,0.0241475088787161,9117430800000,0.0785521867678049,32056931220317,0.2761898723071217,27117485360000,0.2336335554827503,44973841646338,0.3874768765636068,0,0.0
201908,122900350335277,2672969434317,0.0217490790467645,16713837220000,0.1359950331663335,29336938566000,0.238705084940504,24598400801675,0.2001491511990779,49578204313285,0.40340165164732,0,0.0
201909,123280039476689,2043268000000,0.0165741997542624,13065773566000,0.1059845018014502,32073700846082,0.2601694563226256,20765566801675,0.1684422465293058,55331730262932,0.4488295955923559,0,0.0
201910,127314337992065,2962676000000,0.0232705604625981,12796935000000,0.100514484085819,27396603701420,0.215188675003184,22198120795337,0.1743568017980859,61960002495308,0.4866694786503129,0,0.0
201911,136063611992065,5722461846082,0.0420572536793725,13167865000000,0.0967772706252126,22907528650675,0.1683589632473591,23019666400000,0.1691831200346384,71206090095308,0.5233294122712295,40000000000,0.0002939801421877
201912,131081752080300,1361420000000,0.0103860375559063,9296181855338,0.0709189624627782,26444467729654,0.2017402675046199,27063612400000,0.2064636150378961,66876070095308,0.5101859643616914,40000000000,0.0003051530771079
202001,129828116836962,2741940000000,0.0211197702531827,10498491795337,0.0808645465336372,26967271066317,0.2077151831462091,30415553880000,0.2342755531006878,59204860095308,0.4560249469662831,0,0.0
202002,128864057041625,2870173434317,0.0222728781027737,11642889500000,0.0903501703057445,27022632012000,0.2096987525642723,36117911313285,0.2802791728155693,51210450782023,0.3973990262116399,0,0.0
202003,124329961572966,3647610000000,0.0293381414572328,9909642132000,0.0797043770192456,30428026581072,0.2447360732369774,36616424627518,0.2945100614868989,43728258232376,0.3517113467996451,0,0.0
202004,118898715105579,3178801000000,0.0267353688151912,11524512880000,0.0969271439961864,31159451130271,0.2620671813198503,38878075095308,0.326984821162998,34157875000000,0.287285484705774,0,0.0
202005,117202728685579,3437251411764,0.0293274009087719,15157201357105,0.1293246456553702,33499829674687,0.2858280694518414,41940732242023,0.3578477456317407,23167714000000,0.1976721383522756,0,0.0
202006,113122453828474,3021858764586,0.0267131649139082,12596070596816,0.1113489866115815,36929020374696,0.3264517266456309,38484842092376,0.3402051563585248,22090662000000,0.1952809654703544,0,0.0
202007,112094074165072,6403800000000,0.057128800498139,11631110313285,0.1037620445141176,36744220851787,0.3277980671634498,31357933000000,0.2797465720964132,25957010000000,0.2315645157278803,0,0.0
202008,112690225851787,4342929411764,0.0385386521229971,15068526649647,0.1337163585905445,36275321790376,0.3219030001598028,25825722000000,0.2291744630449728,31177726000000,0.2766675260816827,0,0.0
202009,120013095922140,2559528000000,0.0213270725193234,15164972790376,0.1263609831398272,34503827411764,0.2875005193945567,22177442720000,0.1847918558353656,45607325000000,0.380019569110927,0,0.0
202010,126979916112764,6312256000000,0.0497106644360548,15208379000000,0.1197699562700471,25769879392764,0.2029445299828294,20506214720000,0.1614917960867885,59183187000000,0.46608305322428,0,0.0
202011,129956501112764,4221599411764,0.0324847112350377,10402752000000,0.0800479538224368,26509450701000,0.2039871070243542,20470347000000,0.1575169139267435,68352352000000,0.5259633139914276,0,0.0
202012,132155142701000,2405000000000,0.0181983080706991,10032306981000,0.0759131031601094,28597775720000,0.2163954813677001,24479764000000,0.1852350464740163,66640296000000,0.5042580609274749,0,0.0
202101,132405751984000,1584082000000,0.0119638458017399,15681935720000,0.1184384778230406,21368516264000,0.1613866160934019,30281801000000,0.2287045732247287,63489417000000,0.4795064870570887,0,0.0
202102,134777197984000,2432263000000,0.0180465467184496,12119863720000,0.0899251794909611,22703031264000,0.1684486070610785,32626593000000,0.2420779886214376,64845447000000,0.4811306954734145,50000000000,0.0003709826346585
202103,134463052364000,1445300000000,0.0107486776076411,9015756264000,0.0670500639803548,30838770000000,0.2293475379133704,38617745100000,0.2871996762014543,54495481000000,0.4052821949369205,50000000000,0.0003718493602588
202104,138720759647000,2455750000000,0.0177028298161652,10839246000000,0.0781371586169396,34048097547000,0.2454434190934473,41176831100000,0.2968325087375665,50150835000000,0.3615236474167085,50000000000,0.0003604363191726
202105,141832161256667,4402476000000,0.0310400402912358,13562126000000,0.0956209500005944,28547027547000,0.2012733028536439,48389924709667,0.3411773767030034,46880607000000,0.3305358007988214,50000000000,0.000352529352701
202106,142664207856667,2248900000000,0.0157635894369486,13428125547000,0.0941239975235489,38615642209667,0.2706750543097934,42580864100000,0.2984691447120393,45740676000000,0.320617740687665,50000000000,0.0003504733300046
202107,141947489078249,4336804545455,0.0305521751291023,11420698502794,0.0804572069358571,43516167430000,0.3065652496749102,34591252100000,0.2436904824778652,48032566500000,0.3383826428484543,50000000000,0.0003522429338108
202108,149643281976582,4960150000000,0.0331464930097979,20205724145455,0.135025935535262,38507230231127,0.2573268223103599,34006196600000,0.2272484013369989,51905281000000,0.3468600816181161,58700000000,0.000392266189465
202109,145478449536585,3845100000000,0.0264307188607549,15770589275349,0.1084049859314936,40484615661236,0.2782859989929636,31512442600000,0.2166124446636698,53807002000000,0.3698623553619093,58700000000,0.0004034961892086
202110,151279180476363,4691659000000,0.0310132497097514,18609280112012,0.1230128300101391,31810720264351,0.2102782429425002,40263289100000,0.2661522158780536,55846032000000,0.3691587422945208,58200000000,0.0003847191650346
202111,149608407489700,4735600000000,0.0316533013047814,15014177245349,0.1003565073465719,32602574164351,0.2179193984575737,37498848080000,0.2506466629061716,59699008000000,0.3990351144143424,58200000000,0.0003890155705588
202112,156668344636837,2486300000000,0.0158698300270123,11247884564351,0.0717942389091045,43919367992486,0.2803333889452443,36834111080000,0.235108829198284,62072481000000,0.3962030820194488,108200000000,0.000690630900906
